language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
fr,LogisticRegressionRidge,0.34 $\pm$ 0.02,0.29 $\pm$ 0.03,0.30 $\pm$ 0.04,0.33 $\pm$ 0.01,0.32 $\pm$ 0.01,0.35 $\pm$ 0.03
fr,Multi-label ARAM,0.16 $\pm$ 0.02,0.15 $\pm$ 0.01,0.15 $\pm$ 0.01,0.09 $\pm$ 0.04,0.12 $\pm$ 0.04,0.12 $\pm$ 0.04
fr,Multilabel k Nearest Neighbours,0.26 $\pm$ 0.05,0.26 $\pm$ 0.03,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.18 $\pm$ 0.00,0.31 $\pm$ 0.05
fr,NaiveBayes,0.44 $\pm$ 0.01,0.46 $\pm$ 0.02,0.49 $\pm$ 0.02,0.51 $\pm$ 0.03,0.51 $\pm$ 0.01,**0.55 $\pm$ 0.02**
fr,RandomForest,0.28 $\pm$ 0.01,0.22 $\pm$ 0.03,0.25 $\pm$ 0.02,0.27 $\pm$ 0.02,0.27 $\pm$ 0.02,0.36 $\pm$ 0.01
fr,RidgeClassifier,0.35 $\pm$ 0.02,0.30 $\pm$ 0.02,0.30 $\pm$ 0.04,0.33 $\pm$ 0.00,0.31 $\pm$ 0.02,0.35 $\pm$ 0.03
fr,SVM,0.29 $\pm$ 0.06,0.05 $\pm$ 0.07,0.04 $\pm$ 0.01,0.04 $\pm$ 0.04,0.13 $\pm$ 0.03,0.13 $\pm$ 0.09
fr,XGBoost,0.34 $\pm$ 0.00,0.30 $\pm$ 0.01,0.30 $\pm$ 0.02,0.35 $\pm$ 0.02,0.35 $\pm$ 0.04,0.44 $\pm$ 0.03
ge,Binary Relevance kNN,0.23 $\pm$ 0.09,0.23 $\pm$ 0.01,0.20 $\pm$ 0.03,0.17 $\pm$ 0.03,0.17 $\pm$ 0.02,0.12 $\pm$ 0.01
ge,ComplementNB,0.46 $\pm$ 0.01,0.44 $\pm$ 0.02,0.42 $\pm$ 0.01,0.45 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.01
ge,Dummy Classifier,0.43 $\pm$ 0.01,0.42 $\pm$ 0.02,0.41 $\pm$ 0.03,0.42 $\pm$ 0.03,0.40 $\pm$ 0.03,0.41 $\pm$ 0.03
ge,KNN,0.43 $\pm$ 0.05,0.45 $\pm$ 0.06,0.39 $\pm$ 0.02,0.40 $\pm$ 0.05,0.37 $\pm$ 0.05,0.35 $\pm$ 0.03
ge,LinearSVM,0.39 $\pm$ 0.03,0.43 $\pm$ 0.01,0.41 $\pm$ 0.04,0.41 $\pm$ 0.02,0.46 $\pm$ 0.02,0.49 $\pm$ 0.01
ge,LogisticRegression,0.39 $\pm$ 0.03,0.44 $\pm$ 0.02,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.47 $\pm$ 0.01,0.50 $\pm$ 0.02
ge,LogisticRegressionElasticNet,0.38 $\pm$ 0.03,0.45 $\pm$ 0.01,0.41 $\pm$ 0.01,0.45 $\pm$ 0.03,0.49 $\pm$ 0.02,0.52 $\pm$ 0.02
ge,LogisticRegressionLasso,0.31 $\pm$ 0.05,0.39 $\pm$ 0.01,0.37 $\pm$ 0.01,0.42 $\pm$ 0.03,0.44 $\pm$ 0.02,0.51 $\pm$ 0.01
ge,LogisticRegressionRidge,0.40 $\pm$ 0.05,0.41 $\pm$ 0.02,0.38 $\pm$ 0.03,0.41 $\pm$ 0.02,0.43 $\pm$ 0.01,0.50 $\pm$ 0.02
ge,Multi-label ARAM,0.11 $\pm$ 0.03,0.16 $\pm$ 0.09,0.16 $\pm$ 0.09,0.16 $\pm$ 0.09,0.17 $\pm$ 0.10,0.16 $\pm$ 0.09
ge,Multilabel k Nearest Neighbours,0.35 $\pm$ 0.04,0.33 $\pm$ 0.05,0.37 $\pm$ 0.04,0.36 $\pm$ 0.03,0.36 $\pm$ 0.07,0.34 $\pm$ 0.03
ge,NaiveBayes,0.49 $\pm$ 0.02,0.52 $\pm$ 0.02,0.51 $\pm$ 0.01,0.55 $\pm$ 0.02,0.54 $\pm$ 0.03,**0.61 $\pm$ 0.01**
ge,RandomForest,0.35 $\pm$ 0.05,0.36 $\pm$ 0.00,0.35 $\pm$ 0.02,0.37 $\pm$ 0.01,0.37 $\pm$ 0.03,0.41 $\pm$ 0.01
ge,RidgeClassifier,0.39 $\pm$ 0.03,0.42 $\pm$ 0.03,0.39 $\pm$ 0.03,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01,0.50 $\pm$ 0.02
ge,SVM,0.43 $\pm$ 0.03,0.28 $\pm$ 0.03,0.27 $\pm$ 0.02,0.31 $\pm$ 0.01,0.28 $\pm$ 0.04,0.43 $\pm$ 0.02
ge,XGBoost,0.32 $\pm$ 0.05,0.43 $\pm$ 0.00,0.42 $\pm$ 0.01,0.42 $\pm$ 0.02,0.45 $\pm$ 0.01,0.48 $\pm$ 0.04
it,Binary Relevance kNN,0.16 $\pm$ 0.04,0.21 $\pm$ 0.01,0.12 $\pm$ 0.01,0.15 $\pm$ 0.04,0.10 $\pm$ 0.00,0.11 $\pm$ 0.01
it,ComplementNB,0.41 $\pm$ 0.00,0.41 $\pm$ 0.01,0.40 $\pm$ 0.01,0.41 $\pm$ 0.01,0.43 $\pm$ 0.01,0.44 $\pm$ 0.02
it,Dummy Classifier,0.40 $\pm$ 0.02,0.37 $\pm$ 0.03,0.36 $\pm$ 0.02,0.37 $\pm$ 0.04,0.38 $\pm$ 0.02,0.38 $\pm$ 0.02
it,KNN,0.46 $\pm$ 0.03,0.45 $\pm$ 0.04,0.47 $\pm$ 0.02,0.48 $\pm$ 0.02,0.43 $\pm$ 0.02,0.47 $\pm$ 0.02
it,LinearSVM,0.40 $\pm$ 0.02,0.41 $\pm$ 0.01,0.38 $\pm$ 0.01,0.39 $\pm$ 0.02,0.44 $\pm$ 0.01,0.46 $\pm$ 0.01
it,LogisticRegression,0.40 $\pm$ 0.02,0.40 $\pm$ 0.02,0.38 $\pm$ 0.02,0.40 $\pm$ 0.03,0.44 $\pm$ 0.02,0.47 $\pm$ 0.01
it,LogisticRegressionElasticNet,0.40 $\pm$ 0.03,0.42 $\pm$ 0.00,0.41 $\pm$ 0.01,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02,0.51 $\pm$ 0.02
it,LogisticRegressionLasso,0.33 $\pm$ 0.03,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01,0.41 $\pm$ 0.01,0.40 $\pm$ 0.03,0.45 $\pm$ 0.01
it,LogisticRegressionRidge,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01,0.36 $\pm$ 0.02,0.39 $\pm$ 0.01,0.40 $\pm$ 0.02,0.44 $\pm$ 0.01
it,Multi-label ARAM,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00
it,Multilabel k Nearest Neighbours,0.38 $\pm$ 0.02,0.28 $\pm$ 0.05,0.31 $\pm$ 0.03,0.29 $\pm$ 0.06,0.22 $\pm$ 0.08,0.32 $\pm$ 0.02
it,NaiveBayes,0.47 $\pm$ 0.03,0.50 $\pm$ 0.01,0.53 $\pm$ 0.02,0.55 $\pm$ 0.01,0.55 $\pm$ 0.01,**0.59 $\pm$ 0.00**
it,RandomForest,0.29 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.02,0.37 $\pm$ 0.01,0.34 $\pm$ 0.01,0.42 $\pm$ 0.02
it,RidgeClassifier,0.39 $\pm$ 0.01,0.38 $\pm$ 0.02,0.37 $\pm$ 0.02,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01
it,SVM,0.34 $\pm$ 0.03,0.11 $\pm$ 0.02,0.10 $\pm$ 0.01,0.14 $\pm$ 0.05,0.23 $\pm$ 0.01,0.29 $\pm$ 0.01
it,XGBoost,0.35 $\pm$ 0.02,0.37 $\pm$ 0.02,0.38 $\pm$ 0.02,0.40 $\pm$ 0.01,0.41 $\pm$ 0.02,0.45 $\pm$ 0.01
po,Binary Relevance kNN,0.29 $\pm$ 0.07,0.29 $\pm$ 0.04,0.29 $\pm$ 0.01,0.23 $\pm$ 0.04,0.18 $\pm$ 0.04,0.13 $\pm$ 0.03
po,ComplementNB,0.47 $\pm$ 0.04,0.49 $\pm$ 0.04,0.50 $\pm$ 0.01,0.51 $\pm$ 0.02,0.56 $\pm$ 0.04,0.60 $\pm$ 0.04
po,Dummy Classifier,0.46 $\pm$ 0.03,0.44 $\pm$ 0.02,0.45 $\pm$ 0.02,0.43 $\pm$ 0.01,0.42 $\pm$ 0.01,0.42 $\pm$ 0.01
po,KNN,0.46 $\pm$ 0.06,0.36 $\pm$ 0.08,0.44 $\pm$ 0.05,0.31 $\pm$ 0.05,0.28 $\pm$ 0.04,0.31 $\pm$ 0.05
po,LinearSVM,0.47 $\pm$ 0.03,0.49 $\pm$ 0.03,0.50 $\pm$ 0.02,0.50 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.02
po,LogisticRegression,0.48 $\pm$ 0.03,0.50 $\pm$ 0.03,0.49 $\pm$ 0.02,0.51 $\pm$ 0.01,0.56 $\pm$ 0.04,0.60 $\pm$ 0.01
po,LogisticRegressionElasticNet,0.48 $\pm$ 0.04,0.51 $\pm$ 0.02,0.52 $\pm$ 0.03,0.52 $\pm$ 0.01,0.57 $\pm$ 0.02,0.61 $\pm$ 0.02
po,LogisticRegressionLasso,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.00,0.54 $\pm$ 0.02,0.57 $\pm$ 0.03
po,LogisticRegressionRidge,0.48 $\pm$ 0.03,0.48 $\pm$ 0.04,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.56 $\pm$ 0.03,0.60 $\pm$ 0.02
po,Multi-label ARAM,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00
po,Multilabel k Nearest Neighbours,0.43 $\pm$ 0.03,0.43 $\pm$ 0.03,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.43 $\pm$ 0.02,0.39 $\pm$ 0.08
po,NaiveBayes,0.51 $\pm$ 0.03,0.57 $\pm$ 0.02,0.59 $\pm$ 0.01,0.63 $\pm$ 0.02,0.63 $\pm$ 0.02,**0.66 $\pm$ 0.02**
po,RandomForest,0.44 $\pm$ 0.03,0.45 $\pm$ 0.03,0.45 $\pm$ 0.01,0.47 $\pm$ 0.01,0.48 $\pm$ 0.03,0.54 $\pm$ 0.03
po,RidgeClassifier,0.48 $\pm$ 0.03,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.60 $\pm$ 0.03
po,SVM,0.46 $\pm$ 0.03,0.35 $\pm$ 0.03,0.35 $\pm$ 0.02,0.36 $\pm$ 0.02,0.43 $\pm$ 0.04,0.45 $\pm$ 0.07
po,XGBoost,0.45 $\pm$ 0.01,0.48 $\pm$ 0.01,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.54 $\pm$ 0.03,0.58 $\pm$ 0.02
ru,Binary Relevance kNN,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00
ru,ComplementNB,0.33 $\pm$ 0.00,0.33 $\pm$ 0.02,0.38 $\pm$ 0.03,0.39 $\pm$ 0.01,0.40 $\pm$ 0.04,0.36 $\pm$ 0.00
ru,Dummy Classifier,0.30 $\pm$ 0.01,0.29 $\pm$ 0.02,0.26 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.02,0.30 $\pm$ 0.01
ru,KNN,0.35 $\pm$ 0.01,0.36 $\pm$ 0.01,0.36 $\pm$ 0.01,0.35 $\pm$ 0.01,0.36 $\pm$ 0.01,0.35 $\pm$ 0.01
ru,LinearSVM,0.29 $\pm$ 0.03,0.31 $\pm$ 0.02,0.32 $\pm$ 0.02,0.33 $\pm$ 0.01,0.36 $\pm$ 0.04,0.36 $\pm$ 0.02
ru,LogisticRegression,0.30 $\pm$ 0.02,0.32 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.02,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01
ru,LogisticRegressionElasticNet,0.31 $\pm$ 0.02,0.33 $\pm$ 0.03,0.35 $\pm$ 0.02,0.39 $\pm$ 0.02,0.38 $\pm$ 0.02,0.43 $\pm$ 0.03
ru,LogisticRegressionLasso,0.24 $\pm$ 0.03,0.32 $\pm$ 0.03,0.31 $\pm$ 0.03,0.33 $\pm$ 0.05,0.33 $\pm$ 0.05,0.37 $\pm$ 0.01
ru,LogisticRegressionRidge,0.25 $\pm$ 0.02,0.28 $\pm$ 0.02,0.31 $\pm$ 0.03,0.31 $\pm$ 0.01,0.30 $\pm$ 0.00,0.33 $\pm$ 0.01
ru,Multi-label ARAM,0.09 $\pm$ 0.02,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.09 $\pm$ 0.02,0.07 $\pm$ 0.01
ru,Multilabel k Nearest Neighbours,0.21 $\pm$ 0.01,0.27 $\pm$ 0.04,0.28 $\pm$ 0.05,0.27 $\pm$ 0.06,0.23 $\pm$ 0.03,0.24 $\pm$ 0.04
ru,NaiveBayes,0.39 $\pm$ 0.01,0.45 $\pm$ 0.03,0.47 $\pm$ 0.00,0.50 $\pm$ 0.01,0.51 $\pm$ 0.02,**0.52 $\pm$ 0.02**
ru,RandomForest,0.22 $\pm$ 0.01,0.18 $\pm$ 0.00,0.19 $\pm$ 0.01,0.22 $\pm$ 0.03,0.21 $\pm$ 0.02,0.27 $\pm$ 0.02
ru,RidgeClassifier,0.25 $\pm$ 0.01,0.29 $\pm$ 0.02,0.31 $\pm$ 0.03,0.31 $\pm$ 0.01,0.31 $\pm$ 0.02,0.34 $\pm$ 0.01
ru,SVM,0.17 $\pm$ 0.03,0.04 $\pm$ 0.02,0.04 $\pm$ 0.02,0.04 $\pm$ 0.03,0.08 $\pm$ 0.02,0.08 $\pm$ 0.01
ru,XGBoost,0.26 $\pm$ 0.04,0.28 $\pm$ 0.04,0.30 $\pm$ 0.03,0.33 $\pm$ 0.04,0.31 $\pm$ 0.03,0.39 $\pm$ 0.03
