language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
fr,LogisticRegressionElasticNet,0.42 $\pm$ 0.00,0.39 $\pm$ 0.01,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.46 $\pm$ 0.03,0.51 $\pm$ 0.03
fr,LogisticRegressionLasso,0.42 $\pm$ 0.02,0.38 $\pm$ 0.03,0.41 $\pm$ 0.03,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.51 $\pm$ 0.02
fr,LogisticRegressionRidge,0.44 $\pm$ 0.01,0.46 $\pm$ 0.03,0.48 $\pm$ 0.01,0.49 $\pm$ 0.02,0.50 $\pm$ 0.01,0.55 $\pm$ 0.02
fr,Multi-label ARAM,0.25 $\pm$ 0.04,0.18 $\pm$ 0.03,0.14 $\pm$ 0.01,0.29 $\pm$ 0.02,0.29 $\pm$ 0.03,0.31 $\pm$ 0.06
fr,Multilabel k Nearest Neighbours,0.34 $\pm$ 0.03,0.35 $\pm$ 0.03,0.39 $\pm$ 0.02,0.43 $\pm$ 0.03,0.40 $\pm$ 0.01,0.43 $\pm$ 0.01
fr,NaiveBayes,0.44 $\pm$ 0.01,0.47 $\pm$ 0.03,0.49 $\pm$ 0.03,0.50 $\pm$ 0.01,0.51 $\pm$ 0.00,**0.56 $\pm$ 0.03**
fr,RandomForest,0.33 $\pm$ 0.02,0.39 $\pm$ 0.04,0.40 $\pm$ 0.02,0.45 $\pm$ 0.02,0.44 $\pm$ 0.02,0.49 $\pm$ 0.02
fr,RidgeClassifier,0.41 $\pm$ 0.02,0.32 $\pm$ 0.02,0.40 $\pm$ 0.02,0.45 $\pm$ 0.02,0.46 $\pm$ 0.02,0.51 $\pm$ 0.01
fr,SVM,0.44 $\pm$ 0.03,0.44 $\pm$ 0.03,0.45 $\pm$ 0.03,0.47 $\pm$ 0.03,0.48 $\pm$ 0.01,0.53 $\pm$ 0.01
fr,XGBoost,0.45 $\pm$ 0.04,0.43 $\pm$ 0.01,0.45 $\pm$ 0.02,0.46 $\pm$ 0.01,0.45 $\pm$ 0.03,0.50 $\pm$ 0.01
ge,Binary Relevance kNN,0.35 $\pm$ 0.06,0.35 $\pm$ 0.05,0.24 $\pm$ 0.03,0.36 $\pm$ 0.03,0.28 $\pm$ 0.02,0.39 $\pm$ 0.02
ge,ComplementNB,0.49 $\pm$ 0.03,0.51 $\pm$ 0.03,0.52 $\pm$ 0.01,0.51 $\pm$ 0.02,0.54 $\pm$ 0.03,0.59 $\pm$ 0.01
ge,KNN,0.49 $\pm$ 0.03,0.51 $\pm$ 0.03,0.50 $\pm$ 0.01,0.50 $\pm$ 0.02,0.53 $\pm$ 0.03,0.58 $\pm$ 0.03
ge,LinearSVM,0.46 $\pm$ 0.03,0.50 $\pm$ 0.02,0.50 $\pm$ 0.02,0.52 $\pm$ 0.02,0.53 $\pm$ 0.02,0.58 $\pm$ 0.02
ge,LogisticRegression,0.45 $\pm$ 0.02,0.46 $\pm$ 0.02,0.45 $\pm$ 0.01,0.47 $\pm$ 0.02,0.49 $\pm$ 0.01,0.54 $\pm$ 0.01
ge,LogisticRegressionElasticNet,0.46 $\pm$ 0.02,0.47 $\pm$ 0.01,0.47 $\pm$ 0.02,0.49 $\pm$ 0.02,0.52 $\pm$ 0.04,0.58 $\pm$ 0.01
ge,LogisticRegressionLasso,0.45 $\pm$ 0.02,0.47 $\pm$ 0.02,0.47 $\pm$ 0.03,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.56 $\pm$ 0.01
ge,LogisticRegressionRidge,0.45 $\pm$ 0.04,0.52 $\pm$ 0.03,0.52 $\pm$ 0.01,0.53 $\pm$ 0.03,0.54 $\pm$ 0.02,**0.60 $\pm$ 0.02**
ge,Multi-label ARAM,0.27 $\pm$ 0.03,0.28 $\pm$ 0.10,0.20 $\pm$ 0.09,0.20 $\pm$ 0.06,0.26 $\pm$ 0.13,0.44 $\pm$ 0.01
ge,Multilabel k Nearest Neighbours,0.36 $\pm$ 0.03,0.39 $\pm$ 0.05,0.38 $\pm$ 0.01,0.44 $\pm$ 0.04,0.42 $\pm$ 0.01,0.50 $\pm$ 0.01
ge,NaiveBayes,0.50 $\pm$ 0.02,0.52 $\pm$ 0.02,0.52 $\pm$ 0.01,0.52 $\pm$ 0.02,0.55 $\pm$ 0.04,**0.60 $\pm$ 0.02**
ge,RandomForest,0.33 $\pm$ 0.06,0.48 $\pm$ 0.02,0.49 $\pm$ 0.01,0.50 $\pm$ 0.00,0.51 $\pm$ 0.04,0.54 $\pm$ 0.01
ge,RidgeClassifier,0.46 $\pm$ 0.01,0.42 $\pm$ 0.03,0.42 $\pm$ 0.02,0.47 $\pm$ 0.02,0.48 $\pm$ 0.04,0.55 $\pm$ 0.03
ge,SVM,0.46 $\pm$ 0.03,0.51 $\pm$ 0.02,0.49 $\pm$ 0.00,0.50 $\pm$ 0.03,0.52 $\pm$ 0.01,0.57 $\pm$ 0.02
ge,XGBoost,0.54 $\pm$ 0.03,0.55 $\pm$ 0.01,0.54 $\pm$ 0.01,0.54 $\pm$ 0.01,0.54 $\pm$ 0.02,0.58 $\pm$ 0.03
it,Binary Relevance kNN,0.35 $\pm$ 0.01,0.32 $\pm$ 0.03,0.40 $\pm$ 0.01,0.42 $\pm$ 0.02,0.35 $\pm$ 0.03,0.44 $\pm$ 0.02
it,ComplementNB,0.47 $\pm$ 0.02,0.51 $\pm$ 0.01,0.51 $\pm$ 0.02,0.55 $\pm$ 0.02,0.55 $\pm$ 0.01,0.57 $\pm$ 0.01
it,KNN,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.50 $\pm$ 0.01,0.54 $\pm$ 0.01,0.51 $\pm$ 0.01,0.55 $\pm$ 0.01
it,LinearSVM,0.46 $\pm$ 0.01,0.50 $\pm$ 0.01,0.51 $\pm$ 0.01,0.55 $\pm$ 0.01,0.51 $\pm$ 0.01,0.57 $\pm$ 0.01
it,LogisticRegression,0.43 $\pm$ 0.00,0.43 $\pm$ 0.01,0.45 $\pm$ 0.01,0.49 $\pm$ 0.03,0.48 $\pm$ 0.01,0.53 $\pm$ 0.01
it,LogisticRegressionElasticNet,0.44 $\pm$ 0.02,0.46 $\pm$ 0.02,0.47 $\pm$ 0.01,0.50 $\pm$ 0.01,0.49 $\pm$ 0.01,0.55 $\pm$ 0.02
it,LogisticRegressionLasso,0.44 $\pm$ 0.02,0.45 $\pm$ 0.00,0.45 $\pm$ 0.01,0.50 $\pm$ 0.02,0.49 $\pm$ 0.01,0.55 $\pm$ 0.02
it,LogisticRegressionRidge,0.46 $\pm$ 0.01,0.51 $\pm$ 0.01,0.52 $\pm$ 0.01,0.55 $\pm$ 0.01,0.54 $\pm$ 0.01,**0.58 $\pm$ 0.01**
it,Multi-label ARAM,0.40 $\pm$ 0.06,0.20 $\pm$ 0.10,0.33 $\pm$ 0.05,0.26 $\pm$ 0.06,0.34 $\pm$ 0.13,0.39 $\pm$ 0.06
it,Multilabel k Nearest Neighbours,0.41 $\pm$ 0.02,0.41 $\pm$ 0.04,0.41 $\pm$ 0.00,0.44 $\pm$ 0.01,0.42 $\pm$ 0.01,0.48 $\pm$ 0.00
it,NaiveBayes,0.48 $\pm$ 0.02,0.51 $\pm$ 0.01,0.52 $\pm$ 0.02,0.55 $\pm$ 0.02,0.55 $\pm$ 0.01,**0.58 $\pm$ 0.01**
it,RandomForest,0.39 $\pm$ 0.02,0.45 $\pm$ 0.00,0.46 $\pm$ 0.01,0.49 $\pm$ 0.02,0.47 $\pm$ 0.01,0.53 $\pm$ 0.02
it,RidgeClassifier,0.45 $\pm$ 0.02,0.47 $\pm$ 0.01,0.44 $\pm$ 0.00,0.51 $\pm$ 0.02,0.50 $\pm$ 0.02,0.55 $\pm$ 0.02
it,SVM,0.46 $\pm$ 0.02,0.48 $\pm$ 0.03,0.49 $\pm$ 0.01,0.54 $\pm$ 0.00,0.52 $\pm$ 0.01,**0.58 $\pm$ 0.00**
it,XGBoost,0.48 $\pm$ 0.01,0.48 $\pm$ 0.01,0.48 $\pm$ 0.01,0.51 $\pm$ 0.02,0.50 $\pm$ 0.01,0.55 $\pm$ 0.01
po,Binary Relevance kNN,0.37 $\pm$ 0.09,0.37 $\pm$ 0.03,0.37 $\pm$ 0.01,0.39 $\pm$ 0.07,0.47 $\pm$ 0.02,0.53 $\pm$ 0.03
po,ComplementNB,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.58 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.03,0.64 $\pm$ 0.02
po,KNN,0.52 $\pm$ 0.00,0.52 $\pm$ 0.03,0.53 $\pm$ 0.01,0.58 $\pm$ 0.02,0.63 $\pm$ 0.03,0.64 $\pm$ 0.02
po,LinearSVM,0.50 $\pm$ 0.02,0.54 $\pm$ 0.03,0.56 $\pm$ 0.02,0.61 $\pm$ 0.03,0.63 $\pm$ 0.03,**0.66 $\pm$ 0.03**
po,LogisticRegression,0.50 $\pm$ 0.02,0.51 $\pm$ 0.03,0.52 $\pm$ 0.00,0.58 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.03
po,LogisticRegressionElasticNet,0.49 $\pm$ 0.01,0.53 $\pm$ 0.02,0.55 $\pm$ 0.02,0.57 $\pm$ 0.01,0.60 $\pm$ 0.02,0.63 $\pm$ 0.03
po,LogisticRegressionLasso,0.49 $\pm$ 0.03,0.52 $\pm$ 0.02,0.53 $\pm$ 0.03,0.55 $\pm$ 0.02,0.58 $\pm$ 0.01,0.62 $\pm$ 0.02
po,LogisticRegressionRidge,0.51 $\pm$ 0.02,0.57 $\pm$ 0.02,0.59 $\pm$ 0.01,0.62 $\pm$ 0.02,0.63 $\pm$ 0.03,**0.66 $\pm$ 0.03**
po,Multi-label ARAM,0.35 $\pm$ 0.19,0.30 $\pm$ 0.08,0.36 $\pm$ 0.07,0.27 $\pm$ 0.04,0.49 $\pm$ 0.06,0.48 $\pm$ 0.03
po,Multilabel k Nearest Neighbours,0.48 $\pm$ 0.04,0.45 $\pm$ 0.01,0.52 $\pm$ 0.02,0.52 $\pm$ 0.03,0.56 $\pm$ 0.02,0.57 $\pm$ 0.02
po,NaiveBayes,0.51 $\pm$ 0.02,0.57 $\pm$ 0.01,0.59 $\pm$ 0.01,0.63 $\pm$ 0.02,0.64 $\pm$ 0.03,0.65 $\pm$ 0.01
po,RandomForest,0.41 $\pm$ 0.02,0.53 $\pm$ 0.02,0.52 $\pm$ 0.01,0.56 $\pm$ 0.02,0.58 $\pm$ 0.02,0.64 $\pm$ 0.04
po,RidgeClassifier,0.49 $\pm$ 0.02,0.50 $\pm$ 0.04,0.51 $\pm$ 0.01,0.56 $\pm$ 0.02,0.62 $\pm$ 0.02,0.65 $\pm$ 0.02
po,SVM,0.50 $\pm$ 0.02,0.55 $\pm$ 0.01,0.57 $\pm$ 0.01,0.61 $\pm$ 0.01,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02
po,XGBoost,0.58 $\pm$ 0.02,0.59 $\pm$ 0.03,0.59 $\pm$ 0.02,0.60 $\pm$ 0.03,0.61 $\pm$ 0.00,0.65 $\pm$ 0.01
ru,Binary Relevance kNN,0.23 $\pm$ 0.02,0.24 $\pm$ 0.01,0.32 $\pm$ 0.01,0.33 $\pm$ 0.04,0.33 $\pm$ 0.01,0.33 $\pm$ 0.04
ru,ComplementNB,0.36 $\pm$ 0.03,0.41 $\pm$ 0.02,0.43 $\pm$ 0.01,0.49 $\pm$ 0.03,0.48 $\pm$ 0.02,0.51 $\pm$ 0.01
ru,KNN,0.36 $\pm$ 0.02,0.37 $\pm$ 0.01,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.44 $\pm$ 0.01,0.46 $\pm$ 0.01
ru,LinearSVM,0.37 $\pm$ 0.00,0.41 $\pm$ 0.01,0.44 $\pm$ 0.01,0.46 $\pm$ 0.03,0.46 $\pm$ 0.01,0.50 $\pm$ 0.02
ru,LogisticRegression,0.31 $\pm$ 0.02,0.37 $\pm$ 0.01,0.36 $\pm$ 0.02,0.42 $\pm$ 0.01,0.41 $\pm$ 0.02,0.45 $\pm$ 0.02
ru,LogisticRegressionElasticNet,0.33 $\pm$ 0.02,0.38 $\pm$ 0.02,0.40 $\pm$ 0.05,0.44 $\pm$ 0.01,0.44 $\pm$ 0.02,0.49 $\pm$ 0.01
ru,LogisticRegressionLasso,0.34 $\pm$ 0.01,0.34 $\pm$ 0.02,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01,0.44 $\pm$ 0.02,0.49 $\pm$ 0.02
ru,LogisticRegressionRidge,0.37 $\pm$ 0.01,0.43 $\pm$ 0.02,0.45 $\pm$ 0.02,0.49 $\pm$ 0.02,0.50 $\pm$ 0.00,0.51 $\pm$ 0.01
ru,Multi-label ARAM,0.15 $\pm$ 0.01,0.18 $\pm$ 0.09,0.18 $\pm$ 0.08,0.24 $\pm$ 0.09,0.22 $\pm$ 0.03,0.26 $\pm$ 0.04
ru,Multilabel k Nearest Neighbours,0.31 $\pm$ 0.02,0.34 $\pm$ 0.02,0.37 $\pm$ 0.03,0.38 $\pm$ 0.04,0.37 $\pm$ 0.03,0.40 $\pm$ 0.03
ru,NaiveBayes,0.37 $\pm$ 0.01,0.43 $\pm$ 0.03,0.45 $\pm$ 0.01,0.49 $\pm$ 0.01,0.50 $\pm$ 0.01,0.52 $\pm$ 0.01
ru,RandomForest,0.27 $\pm$ 0.02,0.31 $\pm$ 0.02,0.35 $\pm$ 0.03,0.40 $\pm$ 0.01,0.37 $\pm$ 0.04,0.44 $\pm$ 0.03
ru,RidgeClassifier,0.32 $\pm$ 0.01,0.33 $\pm$ 0.03,0.35 $\pm$ 0.01,0.44 $\pm$ 0.02,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02
ru,SVM,0.35 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.03,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,**0.53 $\pm$ 0.04**
ru,XGBoost,0.36 $\pm$ 0.02,0.36 $\pm$ 0.03,0.38 $\pm$ 0.02,0.43 $\pm$ 0.00,0.42 $\pm$ 0.03,0.48 $\pm$ 0.01
