model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.56 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01,0.67 $\pm$ 0.03,0.68 $\pm$ 0.01
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.58 $\pm$ 0.01,0.62 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.01,0.66 $\pm$ 0.03,0.69 $\pm$ 0.02
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.59 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.03,0.66 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.60 $\pm$ 0.02,0.67 $\pm$ 0.01,0.67 $\pm$ 0.03,0.67 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.59 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.65 $\pm$ 0.02,0.65 $\pm$ 0.02,0.67 $\pm$ 0.01
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.59 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.03,0.66 $\pm$ 0.02,0.66 $\pm$ 0.02,0.68 $\pm$ 0.01
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.59 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.02,0.66 $\pm$ 0.02,0.68 $\pm$ 0.02
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.60 $\pm$ 0.01,0.64 $\pm$ 0.02,0.64 $\pm$ 0.03,0.61 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.00
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.62 $\pm$ 0.00,0.64 $\pm$ 0.03,0.65 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.01,0.63 $\pm$ 0.01
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.60 $\pm$ 0.01,0.64 $\pm$ 0.03,0.64 $\pm$ 0.03,0.61 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.00
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.59 $\pm$ 0.01,0.64 $\pm$ 0.03,0.64 $\pm$ 0.02,0.61 $\pm$ 0.01,0.62 $\pm$ 0.01,0.63 $\pm$ 0.00
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.62 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.03,0.63 $\pm$ 0.02,0.63 $\pm$ 0.02,0.63 $\pm$ 0.00
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.59 $\pm$ 0.00,0.67 $\pm$ 0.01,0.69 $\pm$ 0.03,0.68 $\pm$ 0.02,0.68 $\pm$ 0.02,0.69 $\pm$ 0.02
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.62 $\pm$ 0.01,0.68 $\pm$ 0.01,0.69 $\pm$ 0.03,0.68 $\pm$ 0.03,0.68 $\pm$ 0.03,0.69 $\pm$ 0.02
LogisticRegressionRidge,RakelD Partitioning of labels,RakelD_LogisticRegression,0.61 $\pm$ 0.01,0.66 $\pm$ 0.02,0.67 $\pm$ 0.03,0.66 $\pm$ 0.03,0.69 $\pm$ 0.02,0.69 $\pm$ 0.03
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.61 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.03,0.68 $\pm$ 0.02,0.67 $\pm$ 0.02,0.69 $\pm$ 0.02
LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.59 $\pm$ 0.00,0.68 $\pm$ 0.01,0.69 $\pm$ 0.03,0.68 $\pm$ 0.02,0.68 $\pm$ 0.02,0.69 $\pm$ 0.02
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.60 $\pm$ 0.00,0.66 $\pm$ 0.01,0.68 $\pm$ 0.02,0.68 $\pm$ 0.03,0.68 $\pm$ 0.02,0.70 $\pm$ 0.02
Multi-label ARAM,Natively Multilabel,MLARAM,0.23 $\pm$ 0.02,0.24 $\pm$ 0.02,0.23 $\pm$ 0.02,0.25 $\pm$ 0.02,0.25 $\pm$ 0.02,0.19 $\pm$ 0.06
Multilabel k Nearest Neighbours,Natively Multilabel,MLkNN,0.52 $\pm$ 0.01,0.52 $\pm$ 0.01,0.56 $\pm$ 0.03,0.55 $\pm$ 0.01,0.59 $\pm$ 0.02,0.63 $\pm$ 0.02
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.59 $\pm$ 0.02,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.64 $\pm$ 0.01,0.64 $\pm$ 0.02,0.64 $\pm$ 0.02
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.58 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.64 $\pm$ 0.01,0.64 $\pm$ 0.02,0.64 $\pm$ 0.02
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.57 $\pm$ 0.01,0.68 $\pm$ 0.03,0.73 $\pm$ 0.04,0.74 $\pm$ 0.01,0.74 $\pm$ 0.05,0.75 $\pm$ 0.02
NaiveBayes,No Upsampling,NaiveBayes,0.52 $\pm$ 0.00,0.69 $\pm$ 0.04,0.73 $\pm$ 0.05,0.71 $\pm$ 0.05,0.70 $\pm$ 0.01,0.70 $\pm$ 0.02
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.58 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.02,0.65 $\pm$ 0.01
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.58 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.02,0.64 $\pm$ 0.02,0.65 $\pm$ 0.02,0.65 $\pm$ 0.01
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.59 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.65 $\pm$ 0.01,0.65 $\pm$ 0.02,0.65 $\pm$ 0.02
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.58 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.65 $\pm$ 0.02
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.71 $\pm$ 0.01,0.73 $\pm$ 0.03,0.71 $\pm$ 0.05,0.73 $\pm$ 0.01,0.75 $\pm$ 0.03,0.74 $\pm$ 0.03
RandomForest,No Upsampling,RandomForest,0.71 $\pm$ 0.01,0.73 $\pm$ 0.01,0.74 $\pm$ 0.04,0.75 $\pm$ 0.01,**0.77 $\pm$ 0.01**,0.74 $\pm$ 0.00
RandomForest,Random Oversampling,RandomForest_ROS,0.67 $\pm$ 0.01,0.75 $\pm$ 0.01,0.74 $\pm$ 0.02,0.73 $\pm$ 0.01,0.74 $\pm$ 0.03,0.74 $\pm$ 0.03
RandomForest,SMOTE,RandomForest_SMOTE,0.70 $\pm$ 0.00,0.74 $\pm$ 0.02,0.72 $\pm$ 0.02,0.73 $\pm$ 0.01,0.76 $\pm$ 0.02,0.73 $\pm$ 0.03
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.72 $\pm$ 0.02,0.75 $\pm$ 0.03,0.72 $\pm$ 0.03,0.73 $\pm$ 0.01,0.74 $\pm$ 0.03,0.74 $\pm$ 0.03
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.59 $\pm$ 0.00,0.66 $\pm$ 0.01,0.68 $\pm$ 0.03,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.69 $\pm$ 0.02
RidgeClassifier,No Upsampling,RidgeClassifier,0.59 $\pm$ 0.00,0.66 $\pm$ 0.01,0.68 $\pm$ 0.03,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.69 $\pm$ 0.02
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.60 $\pm$ 0.01,0.66 $\pm$ 0.01,0.68 $\pm$ 0.03,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.69 $\pm$ 0.02
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.59 $\pm$ 0.00,0.66 $\pm$ 0.01,0.68 $\pm$ 0.03,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.69 $\pm$ 0.02
RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.58 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.02,0.67 $\pm$ 0.03,0.69 $\pm$ 0.02
SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.60 $\pm$ 0.02,0.60 $\pm$ 0.06,0.54 $\pm$ 0.04,0.54 $\pm$ 0.05,0.45 $\pm$ 0.03,0.54 $\pm$ 0.04
SVM,No Upsampling,SVM_rbf,0.54 $\pm$ 0.02,0.54 $\pm$ 0.01,0.53 $\pm$ 0.02,0.57 $\pm$ 0.04,0.48 $\pm$ 0.01,0.54 $\pm$ 0.04
SVM,RakelD Partitioning of labels,RakelD_SVM,0.48 $\pm$ 0.02,0.49 $\pm$ 0.03,0.41 $\pm$ 0.11,0.48 $\pm$ 0.03,0.43 $\pm$ 0.07,0.53 $\pm$ 0.03
SVM,Random Oversampling,SVM_rbf_ROS,0.62 $\pm$ 0.01,0.63 $\pm$ 0.03,0.61 $\pm$ 0.06,0.63 $\pm$ 0.04,0.56 $\pm$ 0.02,0.65 $\pm$ 0.02
SVM,SMOTE,SVM_rbf_SMOTE,0.58 $\pm$ 0.01,0.61 $\pm$ 0.04,0.58 $\pm$ 0.05,0.53 $\pm$ 0.04,0.47 $\pm$ 0.02,0.55 $\pm$ 0.04
SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.52 $\pm$ 0.03,0.61 $\pm$ 0.02,0.55 $\pm$ 0.05,0.60 $\pm$ 0.04,0.55 $\pm$ 0.04,0.61 $\pm$ 0.05
XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.60 $\pm$ 0.02,0.64 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01,0.66 $\pm$ 0.02,0.70 $\pm$ 0.02
XGBoost,No Upsampling,XGBoost_narrow,0.59 $\pm$ 0.02,0.65 $\pm$ 0.02,0.64 $\pm$ 0.02,0.67 $\pm$ 0.01,0.69 $\pm$ 0.01,0.74 $\pm$ 0.01
XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.58 $\pm$ 0.02,0.64 $\pm$ 0.02,0.63 $\pm$ 0.02,0.66 $\pm$ 0.01,0.68 $\pm$ 0.00,0.71 $\pm$ 0.01
XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.60 $\pm$ 0.02,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.00,0.67 $\pm$ 0.01,0.69 $\pm$ 0.02
XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0.60 $\pm$ 0.02,0.64 $\pm$ 0.01,0.63 $\pm$ 0.02,0.65 $\pm$ 0.01,0.67 $\pm$ 0.02,0.71 $\pm$ 0.02
