model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
LinearSVM,SMOTE,0.49 $\pm$ 0.02,0.50 $\pm$ 0.04,0.55 $\pm$ 0.02,0.57 $\pm$ 0.04,0.55 $\pm$ 0.04,0.55 $\pm$ 0.04
LogisticRegression,BorderlineSMOTE,0.48 $\pm$ 0.01,0.50 $\pm$ 0.04,0.54 $\pm$ 0.01,0.57 $\pm$ 0.04,0.58 $\pm$ 0.05,0.56 $\pm$ 0.04
LogisticRegression,No Upsampling,0.49 $\pm$ 0.02,0.52 $\pm$ 0.04,0.58 $\pm$ 0.04,0.58 $\pm$ 0.06,0.57 $\pm$ 0.06,0.60 $\pm$ 0.06
LogisticRegression,Random Oversampling,0.48 $\pm$ 0.02,0.51 $\pm$ 0.04,0.56 $\pm$ 0.03,0.57 $\pm$ 0.05,0.58 $\pm$ 0.06,0.61 $\pm$ 0.05
LogisticRegression,SMOTE,0.48 $\pm$ 0.03,0.52 $\pm$ 0.04,0.57 $\pm$ 0.04,0.58 $\pm$ 0.04,0.58 $\pm$ 0.05,0.60 $\pm$ 0.04
LogisticRegression,SVMSMOTE,0.48 $\pm$ 0.02,0.51 $\pm$ 0.03,0.58 $\pm$ 0.03,0.57 $\pm$ 0.03,0.58 $\pm$ 0.06,0.60 $\pm$ 0.04
LogisticRegressionElasticNet,BorderlineSMOTE,0.50 $\pm$ 0.01,0.51 $\pm$ 0.03,0.55 $\pm$ 0.04,0.55 $\pm$ 0.02,0.56 $\pm$ 0.02,0.58 $\pm$ 0.04
LogisticRegressionElasticNet,No Upsampling,0.48 $\pm$ 0.02,0.52 $\pm$ 0.03,0.55 $\pm$ 0.04,0.55 $\pm$ 0.03,0.58 $\pm$ 0.05,0.57 $\pm$ 0.04
LogisticRegressionElasticNet,Random Oversampling,0.49 $\pm$ 0.05,0.53 $\pm$ 0.04,0.55 $\pm$ 0.05,0.58 $\pm$ 0.04,0.57 $\pm$ 0.04,0.59 $\pm$ 0.04
LogisticRegressionElasticNet,SMOTE,0.50 $\pm$ 0.01,0.53 $\pm$ 0.03,0.54 $\pm$ 0.04,0.58 $\pm$ 0.05,0.58 $\pm$ 0.03,0.59 $\pm$ 0.05
LogisticRegressionElasticNet,SVMSMOTE,0.49 $\pm$ 0.01,0.53 $\pm$ 0.04,0.56 $\pm$ 0.05,0.56 $\pm$ 0.04,0.57 $\pm$ 0.05,0.62 $\pm$ 0.05
LogisticRegressionLasso,BorderlineSMOTE,0.48 $\pm$ 0.00,0.52 $\pm$ 0.02,0.53 $\pm$ 0.03,0.55 $\pm$ 0.04,0.55 $\pm$ 0.04,0.59 $\pm$ 0.04
LogisticRegressionLasso,No Upsampling,0.49 $\pm$ 0.03,0.51 $\pm$ 0.03,0.53 $\pm$ 0.04,0.55 $\pm$ 0.05,0.57 $\pm$ 0.05,0.59 $\pm$ 0.04
LogisticRegressionLasso,Random Oversampling,0.48 $\pm$ 0.01,0.54 $\pm$ 0.02,0.54 $\pm$ 0.03,0.56 $\pm$ 0.05,0.55 $\pm$ 0.02,0.59 $\pm$ 0.03
LogisticRegressionLasso,SMOTE,0.48 $\pm$ 0.01,0.51 $\pm$ 0.02,0.54 $\pm$ 0.04,0.56 $\pm$ 0.05,0.57 $\pm$ 0.03,0.59 $\pm$ 0.06
LogisticRegressionLasso,SVMSMOTE,0.48 $\pm$ 0.02,0.52 $\pm$ 0.02,0.55 $\pm$ 0.03,0.55 $\pm$ 0.04,0.56 $\pm$ 0.03,0.58 $\pm$ 0.04
LogisticRegressionRidge,BorderlineSMOTE,0.48 $\pm$ 0.04,0.50 $\pm$ 0.04,0.53 $\pm$ 0.02,0.57 $\pm$ 0.04,0.53 $\pm$ 0.03,0.56 $\pm$ 0.04
LogisticRegressionRidge,No Upsampling,0.47 $\pm$ 0.03,0.51 $\pm$ 0.04,0.55 $\pm$ 0.02,0.56 $\pm$ 0.04,0.55 $\pm$ 0.04,0.56 $\pm$ 0.04
LogisticRegressionRidge,RakelD Partitioning of labels,0.49 $\pm$ 0.04,0.54 $\pm$ 0.03,0.57 $\pm$ 0.02,0.59 $\pm$ 0.03,0.55 $\pm$ 0.04,0.56 $\pm$ 0.03
LogisticRegressionRidge,Random Oversampling,0.51 $\pm$ 0.03,0.50 $\pm$ 0.03,0.53 $\pm$ 0.02,0.57 $\pm$ 0.04,0.53 $\pm$ 0.03,0.56 $\pm$ 0.06
LogisticRegressionRidge,SMOTE,0.48 $\pm$ 0.03,0.50 $\pm$ 0.03,0.54 $\pm$ 0.03,0.56 $\pm$ 0.04,0.53 $\pm$ 0.03,0.55 $\pm$ 0.04
LogisticRegressionRidge,SVMSMOTE,0.48 $\pm$ 0.04,0.51 $\pm$ 0.04,0.57 $\pm$ 0.03,0.57 $\pm$ 0.05,0.54 $\pm$ 0.03,0.53 $\pm$ 0.04
Multi-label ARAM,Natively Multilabel,0.28 $\pm$ 0.15,0.29 $\pm$ 0.11,0.30 $\pm$ 0.03,0.28 $\pm$ 0.06,0.42 $\pm$ 0.03,0.38 $\pm$ 0.02
Multilabel k Nearest Neighbours,Natively Multilabel,0.49 $\pm$ 0.05,0.48 $\pm$ 0.04,0.51 $\pm$ 0.02,0.57 $\pm$ 0.02,0.59 $\pm$ 0.01,0.58 $\pm$ 0.03
NaiveBayes,BorderlineSMOTE,0.50 $\pm$ 0.03,0.55 $\pm$ 0.03,0.57 $\pm$ 0.02,0.61 $\pm$ 0.04,0.60 $\pm$ 0.05,0.59 $\pm$ 0.03
NaiveBayes,No Upsampling,0.48 $\pm$ 0.02,0.53 $\pm$ 0.02,0.55 $\pm$ 0.01,0.60 $\pm$ 0.03,0.60 $\pm$ 0.05,0.61 $\pm$ 0.05
NaiveBayes,Random Oversampling,0.48 $\pm$ 0.02,0.54 $\pm$ 0.03,0.55 $\pm$ 0.01,0.60 $\pm$ 0.03,0.60 $\pm$ 0.05,0.61 $\pm$ 0.05
NaiveBayes,SMOTE,0.49 $\pm$ 0.03,0.54 $\pm$ 0.01,0.55 $\pm$ 0.01,0.60 $\pm$ 0.03,0.61 $\pm$ 0.05,0.59 $\pm$ 0.03
NaiveBayes,SVMSMOTE,0.49 $\pm$ 0.02,0.53 $\pm$ 0.02,0.56 $\pm$ 0.02,0.60 $\pm$ 0.03,0.61 $\pm$ 0.05,0.61 $\pm$ 0.05
RandomForest,BorderlineSMOTE,0.50 $\pm$ 0.08,0.50 $\pm$ 0.03,0.50 $\pm$ 0.05,0.57 $\pm$ 0.04,0.62 $\pm$ 0.05,0.69 $\pm$ 0.01
RandomForest,No Upsampling,0.27 $\pm$ 0.14,0.51 $\pm$ 0.03,0.49 $\pm$ 0.04,0.58 $\pm$ 0.06,0.60 $\pm$ 0.05,0.69 $\pm$ 0.02
RandomForest,Random Oversampling,0.51 $\pm$ 0.06,0.50 $\pm$ 0.03,0.51 $\pm$ 0.03,0.57 $\pm$ 0.05,0.61 $\pm$ 0.05,0.68 $\pm$ 0.03
RandomForest,SMOTE,0.52 $\pm$ 0.01,0.50 $\pm$ 0.04,0.51 $\pm$ 0.03,0.57 $\pm$ 0.05,0.59 $\pm$ 0.05,0.68 $\pm$ 0.03
RandomForest,SVMSMOTE,0.53 $\pm$ 0.01,0.51 $\pm$ 0.03,0.50 $\pm$ 0.04,0.57 $\pm$ 0.05,0.61 $\pm$ 0.05,**0.70 $\pm$ 0.03**
RidgeClassifier,BorderlineSMOTE,0.50 $\pm$ 0.02,0.54 $\pm$ 0.04,0.58 $\pm$ 0.02,0.60 $\pm$ 0.05,0.63 $\pm$ 0.05,0.65 $\pm$ 0.02
RidgeClassifier,No Upsampling,0.48 $\pm$ 0.02,0.55 $\pm$ 0.05,0.59 $\pm$ 0.03,0.60 $\pm$ 0.05,0.63 $\pm$ 0.04,0.66 $\pm$ 0.02
RidgeClassifier,Random Oversampling,0.48 $\pm$ 0.02,0.53 $\pm$ 0.03,0.59 $\pm$ 0.04,0.61 $\pm$ 0.05,0.63 $\pm$ 0.04,0.66 $\pm$ 0.03
RidgeClassifier,SMOTE,0.48 $\pm$ 0.02,0.54 $\pm$ 0.06,0.60 $\pm$ 0.03,0.59 $\pm$ 0.06,0.62 $\pm$ 0.04,0.65 $\pm$ 0.03
RidgeClassifier,SVMSMOTE,0.48 $\pm$ 0.02,0.54 $\pm$ 0.02,0.59 $\pm$ 0.03,0.60 $\pm$ 0.09,0.64 $\pm$ 0.04,0.66 $\pm$ 0.03
SVM,BorderlineSMOTE,0.48 $\pm$ 0.04,0.55 $\pm$ 0.03,0.56 $\pm$ 0.04,0.62 $\pm$ 0.05,0.61 $\pm$ 0.06,0.62 $\pm$ 0.03
SVM,No Upsampling,0.49 $\pm$ 0.01,0.50 $\pm$ 0.03,0.59 $\pm$ 0.05,0.62 $\pm$ 0.03,0.64 $\pm$ 0.06,0.66 $\pm$ 0.04
SVM,RakelD Partitioning of labels,0.46 $\pm$ 0.04,0.50 $\pm$ 0.02,0.51 $\pm$ 0.03,0.60 $\pm$ 0.05,0.60 $\pm$ 0.05,0.61 $\pm$ 0.04
SVM,Random Oversampling,0.49 $\pm$ 0.03,0.55 $\pm$ 0.02,0.59 $\pm$ 0.05,0.61 $\pm$ 0.03,0.60 $\pm$ 0.05,0.64 $\pm$ 0.03
SVM,SMOTE,0.48 $\pm$ 0.01,0.53 $\pm$ 0.04,0.54 $\pm$ 0.04,0.63 $\pm$ 0.05,0.62 $\pm$ 0.04,0.66 $\pm$ 0.02
SVM,SVMSMOTE,0.48 $\pm$ 0.04,0.53 $\pm$ 0.02,0.63 $\pm$ 0.05,0.58 $\pm$ 0.05,0.61 $\pm$ 0.03,0.64 $\pm$ 0.02
XGBoost,BorderlineSMOTE,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.47 $\pm$ 0.03,0.52 $\pm$ 0.06,0.53 $\pm$ 0.01,0.57 $\pm$ 0.03
XGBoost,No Upsampling,0.44 $\pm$ 0.04,0.45 $\pm$ 0.04,0.45 $\pm$ 0.03,0.47 $\pm$ 0.04,0.52 $\pm$ 0.02,0.56 $\pm$ 0.01
XGBoost,Random Oversampling,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.45 $\pm$ 0.03,0.50 $\pm$ 0.03,0.53 $\pm$ 0.03,0.57 $\pm$ 0.02
XGBoost,SMOTE,0.44 $\pm$ 0.02,0.45 $\pm$ 0.03,0.46 $\pm$ 0.05,0.49 $\pm$ 0.06,0.51 $\pm$ 0.05,0.58 $\pm$ 0.03
XGBoost,SVMSMOTE,0.44 $\pm$ 0.03,0.45 $\pm$ 0.02,0.45 $\pm$ 0.03,0.49 $\pm$ 0.07,0.51 $\pm$ 0.02,0.57 $\pm$ 0.04
