model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
LogisticRegressionLasso,No Upsampling,0.53 $\pm$ 0.06,0.51 $\pm$ 0.03,0.53 $\pm$ 0.04,0.57 $\pm$ 0.04,0.57 $\pm$ 0.02,0.58 $\pm$ 0.03
LogisticRegressionLasso,Random Oversampling,0.50 $\pm$ 0.05,0.52 $\pm$ 0.03,0.51 $\pm$ 0.03,0.57 $\pm$ 0.03,0.57 $\pm$ 0.02,0.58 $\pm$ 0.04
LogisticRegressionLasso,SMOTE,0.51 $\pm$ 0.06,0.52 $\pm$ 0.04,0.52 $\pm$ 0.03,0.57 $\pm$ 0.04,0.57 $\pm$ 0.01,0.59 $\pm$ 0.04
LogisticRegressionLasso,SVMSMOTE,0.52 $\pm$ 0.04,0.53 $\pm$ 0.04,0.52 $\pm$ 0.06,0.56 $\pm$ 0.02,0.56 $\pm$ 0.02,0.58 $\pm$ 0.06
LogisticRegressionRidge,BorderlineSMOTE,0.50 $\pm$ 0.04,0.55 $\pm$ 0.05,0.60 $\pm$ 0.04,0.58 $\pm$ 0.01,0.63 $\pm$ 0.03,0.64 $\pm$ 0.04
LogisticRegressionRidge,No Upsampling,0.48 $\pm$ 0.04,0.55 $\pm$ 0.04,0.60 $\pm$ 0.06,0.56 $\pm$ 0.04,0.64 $\pm$ 0.04,0.65 $\pm$ 0.04
LogisticRegressionRidge,RakelD Partitioning of labels,0.49 $\pm$ 0.05,0.56 $\pm$ 0.06,0.59 $\pm$ 0.02,0.56 $\pm$ 0.02,0.61 $\pm$ 0.07,0.61 $\pm$ 0.03
LogisticRegressionRidge,Random Oversampling,0.49 $\pm$ 0.04,0.54 $\pm$ 0.05,0.60 $\pm$ 0.05,0.58 $\pm$ 0.02,0.61 $\pm$ 0.03,0.64 $\pm$ 0.03
LogisticRegressionRidge,SMOTE,0.49 $\pm$ 0.04,0.55 $\pm$ 0.04,0.60 $\pm$ 0.04,0.59 $\pm$ 0.01,0.62 $\pm$ 0.02,0.64 $\pm$ 0.03
LogisticRegressionRidge,SVMSMOTE,0.50 $\pm$ 0.05,0.54 $\pm$ 0.02,0.59 $\pm$ 0.03,0.59 $\pm$ 0.03,0.60 $\pm$ 0.05,0.63 $\pm$ 0.03
Multi-label ARAM,Natively Multilabel,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00
Multilabel k Nearest Neighbours,Natively Multilabel,0.46 $\pm$ 0.03,0.47 $\pm$ 0.02,0.46 $\pm$ 0.02,0.51 $\pm$ 0.03,0.53 $\pm$ 0.01,0.55 $\pm$ 0.05
NaiveBayes,BorderlineSMOTE,0.50 $\pm$ 0.04,0.55 $\pm$ 0.03,0.57 $\pm$ 0.02,0.60 $\pm$ 0.03,0.59 $\pm$ 0.04,0.59 $\pm$ 0.04
NaiveBayes,No Upsampling,0.49 $\pm$ 0.02,0.55 $\pm$ 0.03,0.58 $\pm$ 0.04,0.64 $\pm$ 0.06,0.60 $\pm$ 0.05,0.61 $\pm$ 0.04
NaiveBayes,Random Oversampling,0.50 $\pm$ 0.03,0.54 $\pm$ 0.03,0.58 $\pm$ 0.02,0.62 $\pm$ 0.04,0.59 $\pm$ 0.04,0.59 $\pm$ 0.03
NaiveBayes,SMOTE,0.50 $\pm$ 0.04,0.54 $\pm$ 0.03,0.57 $\pm$ 0.02,0.60 $\pm$ 0.04,0.59 $\pm$ 0.04,0.59 $\pm$ 0.04
RandomForest,BorderlineSMOTE,0.57 $\pm$ 0.02,0.60 $\pm$ 0.05,0.59 $\pm$ 0.07,0.57 $\pm$ 0.03,0.70 $\pm$ 0.04,0.70 $\pm$ 0.02
RandomForest,No Upsampling,0.48 $\pm$ 0.06,0.54 $\pm$ 0.08,0.56 $\pm$ 0.06,0.56 $\pm$ 0.05,0.52 $\pm$ 0.02,0.60 $\pm$ 0.01
RandomForest,Random Oversampling,0.57 $\pm$ 0.03,0.60 $\pm$ 0.02,0.58 $\pm$ 0.07,0.59 $\pm$ 0.01,0.65 $\pm$ 0.03,0.70 $\pm$ 0.03
RandomForest,SMOTE,0.55 $\pm$ 0.03,0.59 $\pm$ 0.04,0.55 $\pm$ 0.03,0.59 $\pm$ 0.07,0.66 $\pm$ 0.01,**0.72 $\pm$ 0.04**
RandomForest,SVMSMOTE,0.58 $\pm$ 0.02,0.56 $\pm$ 0.05,0.58 $\pm$ 0.08,0.59 $\pm$ 0.08,0.67 $\pm$ 0.07,0.71 $\pm$ 0.05
RidgeClassifier,BorderlineSMOTE,0.49 $\pm$ 0.04,0.56 $\pm$ 0.04,0.60 $\pm$ 0.04,0.58 $\pm$ 0.01,0.62 $\pm$ 0.03,0.64 $\pm$ 0.03
RidgeClassifier,No Upsampling,0.49 $\pm$ 0.04,0.56 $\pm$ 0.04,0.60 $\pm$ 0.05,0.58 $\pm$ 0.01,0.62 $\pm$ 0.03,0.64 $\pm$ 0.03
RidgeClassifier,Random Oversampling,0.49 $\pm$ 0.04,0.56 $\pm$ 0.04,0.60 $\pm$ 0.04,0.58 $\pm$ 0.01,0.62 $\pm$ 0.03,0.64 $\pm$ 0.03
RidgeClassifier,SMOTE,0.49 $\pm$ 0.04,0.56 $\pm$ 0.04,0.60 $\pm$ 0.04,0.58 $\pm$ 0.01,0.62 $\pm$ 0.03,0.64 $\pm$ 0.03
RidgeClassifier,SVMSMOTE,0.49 $\pm$ 0.05,0.54 $\pm$ 0.04,0.57 $\pm$ 0.03,0.59 $\pm$ 0.04,0.63 $\pm$ 0.06,0.62 $\pm$ 0.05
SVM,BorderlineSMOTE,0.52 $\pm$ 0.05,0.39 $\pm$ 0.05,0.39 $\pm$ 0.06,0.30 $\pm$ 0.02,0.26 $\pm$ 0.03,0.32 $\pm$ 0.08
SVM,No Upsampling,0.35 $\pm$ 0.04,0.34 $\pm$ 0.03,0.28 $\pm$ 0.04,0.30 $\pm$ 0.02,0.32 $\pm$ 0.03,0.34 $\pm$ 0.03
SVM,RakelD Partitioning of labels,0.34 $\pm$ 0.10,0.32 $\pm$ 0.01,0.28 $\pm$ 0.04,0.22 $\pm$ 0.07,0.25 $\pm$ 0.01,0.26 $\pm$ 0.05
SVM,Random Oversampling,0.52 $\pm$ 0.05,0.42 $\pm$ 0.03,0.45 $\pm$ 0.09,0.38 $\pm$ 0.04,0.36 $\pm$ 0.04,0.39 $\pm$ 0.03
SVM,SMOTE,0.50 $\pm$ 0.05,0.39 $\pm$ 0.04,0.38 $\pm$ 0.05,0.31 $\pm$ 0.01,0.27 $\pm$ 0.04,0.29 $\pm$ 0.04
SVM,SVMSMOTE,0.46 $\pm$ 0.04,0.44 $\pm$ 0.06,0.35 $\pm$ 0.04,0.32 $\pm$ 0.01,0.23 $\pm$ 0.01,0.23 $\pm$ 0.01
XGBoost,BorderlineSMOTE,0.54 $\pm$ 0.03,0.52 $\pm$ 0.03,0.52 $\pm$ 0.05,0.58 $\pm$ 0.05,0.59 $\pm$ 0.03,0.66 $\pm$ 0.02
XGBoost,No Upsampling,0.52 $\pm$ 0.01,0.52 $\pm$ 0.02,0.53 $\pm$ 0.05,0.56 $\pm$ 0.06,0.59 $\pm$ 0.03,0.67 $\pm$ 0.01
XGBoost,Random Oversampling,0.51 $\pm$ 0.01,0.52 $\pm$ 0.03,0.53 $\pm$ 0.04,0.55 $\pm$ 0.05,0.59 $\pm$ 0.02,0.63 $\pm$ 0.02
XGBoost,SMOTE,0.54 $\pm$ 0.03,0.51 $\pm$ 0.03,0.52 $\pm$ 0.04,0.56 $\pm$ 0.06,0.57 $\pm$ 0.02,0.65 $\pm$ 0.03
XGBoost,SVMSMOTE,0.56 $\pm$ 0.03,0.51 $\pm$ 0.03,0.54 $\pm$ 0.04,0.57 $\pm$ 0.04,0.59 $\pm$ 0.03,0.66 $\pm$ 0.01
