model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
LogisticRegressionLasso,No Upsampling,0.37 $\pm$ 0.06,0.43 $\pm$ 0.03,0.41 $\pm$ 0.01,0.48 $\pm$ 0.08,0.49 $\pm$ 0.04,0.45 $\pm$ 0.01
LogisticRegressionLasso,Random Oversampling,0.34 $\pm$ 0.04,0.41 $\pm$ 0.02,0.41 $\pm$ 0.04,0.47 $\pm$ 0.02,0.50 $\pm$ 0.10,0.46 $\pm$ 0.02
LogisticRegressionLasso,SMOTE,0.39 $\pm$ 0.03,0.41 $\pm$ 0.03,0.40 $\pm$ 0.02,0.45 $\pm$ 0.03,0.48 $\pm$ 0.07,0.46 $\pm$ 0.01
LogisticRegressionLasso,SVMSMOTE,0,0.40 $\pm$ 0.02,0,0,0,0.47 $\pm$ 0.01
LogisticRegressionRidge,BorderlineSMOTE,0.38 $\pm$ 0.02,0.44 $\pm$ 0.00,0.56 $\pm$ 0.04,0.57 $\pm$ 0.03,0.56 $\pm$ 0.02,0.54 $\pm$ 0.03
LogisticRegressionRidge,No Upsampling,0.37 $\pm$ 0.03,0.43 $\pm$ 0.02,0.56 $\pm$ 0.04,0.54 $\pm$ 0.07,0.52 $\pm$ 0.05,0.54 $\pm$ 0.03
LogisticRegressionRidge,RakelD Partitioning of labels,0.33 $\pm$ 0.03,0.43 $\pm$ 0.03,0.49 $\pm$ 0.01,0.46 $\pm$ 0.03,0.51 $\pm$ 0.09,0.53 $\pm$ 0.06
LogisticRegressionRidge,Random Oversampling,0.38 $\pm$ 0.02,0.44 $\pm$ 0.02,0.53 $\pm$ 0.03,0.56 $\pm$ 0.04,0.54 $\pm$ 0.01,0.56 $\pm$ 0.07
LogisticRegressionRidge,SMOTE,0.39 $\pm$ 0.03,0.45 $\pm$ 0.02,0.53 $\pm$ 0.03,0.55 $\pm$ 0.04,0.55 $\pm$ 0.02,0.54 $\pm$ 0.03
LogisticRegressionRidge,SVMSMOTE,0,0.41 $\pm$ 0.03,0,0,0,0.50 $\pm$ 0.02
Multi-label ARAM,Natively Multilabel,0.06 $\pm$ 0.01,0.05 $\pm$ 0.00,0.05 $\pm$ 0.00,0.05 $\pm$ 0.00,0.06 $\pm$ 0.01,0.04 $\pm$ 0.01
Multilabel k Nearest Neighbours,Natively Multilabel,0.31 $\pm$ 0.06,0.32 $\pm$ 0.02,0.35 $\pm$ 0.04,0.34 $\pm$ 0.05,0.36 $\pm$ 0.08,0.39 $\pm$ 0.04
NaiveBayes,BorderlineSMOTE,0.31 $\pm$ 0.01,0.36 $\pm$ 0.02,0.40 $\pm$ 0.01,0.42 $\pm$ 0.03,0.42 $\pm$ 0.02,0.43 $\pm$ 0.02
NaiveBayes,No Upsampling,0.27 $\pm$ 0.00,0.36 $\pm$ 0.01,0.44 $\pm$ 0.04,0.60 $\pm$ 0.04,0.49 $\pm$ 0.04,0.53 $\pm$ 0.01
NaiveBayes,Random Oversampling,0.31 $\pm$ 0.01,0.37 $\pm$ 0.03,0.39 $\pm$ 0.01,0.42 $\pm$ 0.03,0.43 $\pm$ 0.02,0.43 $\pm$ 0.03
NaiveBayes,SMOTE,0.31 $\pm$ 0.00,0.36 $\pm$ 0.01,0.38 $\pm$ 0.02,0.44 $\pm$ 0.03,0.42 $\pm$ 0.02,0.45 $\pm$ 0.02
RandomForest,BorderlineSMOTE,0.49 $\pm$ 0.05,0.51 $\pm$ 0.01,0.57 $\pm$ 0.03,0.55 $\pm$ 0.12,0.53 $\pm$ 0.05,0.50 $\pm$ 0.08
RandomForest,No Upsampling,0.45 $\pm$ 0.09,0.41 $\pm$ 0.10,0.35 $\pm$ 0.02,0.40 $\pm$ 0.06,0.38 $\pm$ 0.10,0.45 $\pm$ 0.10
RandomForest,Random Oversampling,0.44 $\pm$ 0.01,0.54 $\pm$ 0.05,0.43 $\pm$ 0.02,0.56 $\pm$ 0.03,0.50 $\pm$ 0.02,0.57 $\pm$ 0.04
RandomForest,SMOTE,0.55 $\pm$ 0.07,0.53 $\pm$ 0.06,0.46 $\pm$ 0.05,0.53 $\pm$ 0.04,0.49 $\pm$ 0.04,0.52 $\pm$ 0.05
RandomForest,SVMSMOTE,0,0.49 $\pm$ 0.04,0,0,0,**0.61 $\pm$ 0.07**
RidgeClassifier,BorderlineSMOTE,0.37 $\pm$ 0.01,0.44 $\pm$ 0.01,0.53 $\pm$ 0.02,0.57 $\pm$ 0.05,0.56 $\pm$ 0.02,0.56 $\pm$ 0.05
RidgeClassifier,No Upsampling,0.37 $\pm$ 0.01,0.44 $\pm$ 0.01,0.53 $\pm$ 0.02,0.57 $\pm$ 0.05,0.56 $\pm$ 0.02,0.56 $\pm$ 0.05
RidgeClassifier,Random Oversampling,0.37 $\pm$ 0.01,0.44 $\pm$ 0.01,0.53 $\pm$ 0.02,0.57 $\pm$ 0.05,0.56 $\pm$ 0.02,0.56 $\pm$ 0.05
RidgeClassifier,SMOTE,0.37 $\pm$ 0.01,0.44 $\pm$ 0.01,0.53 $\pm$ 0.02,0.57 $\pm$ 0.05,0.56 $\pm$ 0.02,0.56 $\pm$ 0.05
RidgeClassifier,SVMSMOTE,0,0.43 $\pm$ 0.05,0,0,0,0.53 $\pm$ 0.05
SVM,BorderlineSMOTE,0.34 $\pm$ 0.08,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.10 $\pm$ 0.07,0.05 $\pm$ 0.07,0.00 $\pm$ 0.00
SVM,No Upsampling,0.10 $\pm$ 0.03,0.05 $\pm$ 0.07,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.04 $\pm$ 0.01,0.05 $\pm$ 0.00
SVM,RakelD Partitioning of labels,0.16 $\pm$ 0.04,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.05 $\pm$ 0.07,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02
SVM,Random Oversampling,0.43 $\pm$ 0.08,0.17 $\pm$ 0.05,0.22 $\pm$ 0.12,0.28 $\pm$ 0.20,0.21 $\pm$ 0.14,0.15 $\pm$ 0.07
SVM,SMOTE,0.33 $\pm$ 0.10,0.05 $\pm$ 0.07,0.05 $\pm$ 0.07,0.10 $\pm$ 0.07,0.05 $\pm$ 0.07,0.00 $\pm$ 0.00
SVM,SVMSMOTE,0,0.17 $\pm$ 0.03,0,0,0,0.00 $\pm$ 0.00
XGBoost,BorderlineSMOTE,0.33 $\pm$ 0.06,0.37 $\pm$ 0.05,0.40 $\pm$ 0.02,0.46 $\pm$ 0.04,0.42 $\pm$ 0.02,0.48 $\pm$ 0.01
XGBoost,No Upsampling,0.32 $\pm$ 0.03,0.35 $\pm$ 0.06,0.38 $\pm$ 0.03,0.50 $\pm$ 0.08,0.45 $\pm$ 0.01,0.52 $\pm$ 0.05
XGBoost,Random Oversampling,0.36 $\pm$ 0.05,0.35 $\pm$ 0.03,0.40 $\pm$ 0.07,0.48 $\pm$ 0.06,0.41 $\pm$ 0.07,0.51 $\pm$ 0.03
XGBoost,SMOTE,0.36 $\pm$ 0.03,0.39 $\pm$ 0.07,0.40 $\pm$ 0.03,0.44 $\pm$ 0.05,0.42 $\pm$ 0.01,0.49 $\pm$ 0.03
XGBoost,SVMSMOTE,0,0.38 $\pm$ 0.07,0,0,0,0.47 $\pm$ 0.02
