language,model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.068,0.058,0.097,0.078,0.087,0.049
en,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.058,0.058,0.107,0.058,0.097,0.058
en,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.039,0.058,0.117,0.097,0.107,0.058
en,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.058,0.117,0.087,0.107,0.097,0.058
en,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.068,0.097,0.107,0.136,0.078,0.068
en,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0,0,0.107,0.117,0.087,0.126
en,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0,0,0.078,0.097,0.087,0.078
en,NaiveBayes,No Upsampling,ComplementNaiveBayes,0,0,0.107,0.097,0.097,0.097
en,NaiveBayes,No Upsampling,NaiveBayes,0,0,0.107,0.107,0.117,0.107
en,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0,0,0.097,0.097,0.117,0.097
en,NaiveBayes,Random Oversampling,NaiveBayes_ROS,0,0,0.097,0.097,0.117,0.097
en,NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0,0,0.087,0.107,0.097,0.068
en,NaiveBayes,SMOTE,NaiveBayes_SMOTE,0,0,0.117,0.117,0.078,0.126
en,NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0,0,0.107,0.107,0.097,0.107
en,NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0,0,0.107,0.097,0.097,0.107
en,RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0,0,0.126,0.087,0.078,0.087
en,RandomForest,No Upsampling,RandomForest,0,0,0.117,0.049,0.078,0.117
en,RandomForest,Random Oversampling,RandomForest_ROS,0,0,0.136,0.136,0.117,0.107
en,RandomForest,SMOTE,RandomForest_SMOTE,0,0,0.146,**0.165**,0.107,0.117
en,RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0,0,0.126,0.136,0.117,0.146
en,RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0,0.087,0.068,0.117,0.078,0.078
en,RidgeClassifier,No Upsampling,RidgeClassifier,0,0.087,0.097,0.126,0.107,0.078
en,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0,0.117,0.087,0.087,0.087,0.097
en,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0,0.078,0.117,0.117,0.107,0.078
en,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0,0.107,0.136,0.097,0.087,0.078
en,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0,0.068,0.078,0.087,0.087,0.068
en,SVM,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0,0.078,0.039,0.107,0.087,0.087
en,SVM,No Upsampling,SVM_rbf,0,0.087,0.107,0.049,0.087,0.078
en,SVM,No Upsampling,SVM_sigmoid,0,0.087,0.087,0.126,0.078,0.058
en,SVM,Random Oversampling,SVM_rbf_ROS,0,0.097,0.087,0.087,0.087,0.078
en,SVM,Random Oversampling,SVM_sigmoid_ROS,0,0.078,0.068,0.107,0.087,0.058
en,SVM,SMOTE,SVM_rbf_SMOTE,0,0.068,0.078,0.068,0.087,0.087
en,SVM,SMOTE,SVM_sigmoid_SMOTE,0,0.097,0.097,0.097,0.078,0.078
en,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0,0.068,0.097,0.117,0.078,0.078
en,SVM,SVMSMOTE,SVM_sigmoid_SVMSMOTE,0,0.107,0.087,0.117,0.068,0.078
en,XGBoost,BorderlineSMOTE,XGBoost_broad_BorderlineSMOTE,0,0,0.126,0.146,0.117,0.136
en,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0,0,0.039,0.078,0.087,0.126
en,XGBoost,No Upsampling,XGBoost_broad,0,0.087,0.117,**0.165**,0.117,0.117
en,XGBoost,No Upsampling,XGBoost_narrow,0,0.049,0.039,0.078,0.078,0.097
en,XGBoost,Random Oversampling,XGBoost_broad_ROS,0,0.087,0.136,0.146,0.107,0.087
en,XGBoost,Random Oversampling,XGBoost_narrow_ROS,0,0.049,0.029,0.078,0.068,0.126
en,XGBoost,SMOTE,XGBoost_broad_SMOTE,0,0,0.136,0.146,0.078,0.136
en,XGBoost,SMOTE,XGBoost_narrow_SMOTE,0,0.029,0.049,0.107,0.078,0.097
en,XGBoost,SVMSMOTE,XGBoost_broad_SVMSMOTE,0,0,0.107,0.107,0.117,0.136
en,XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0,0,0.029,0.097,0.087,0.136
fr,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.024,0.000,0.000,0.048,0.000,0.048
fr,KNN,No Upsampling,kNN,0.048,0.048,0.024,0.071,0.024,0.119
fr,KNN,Random Oversampling,kNN_ROS,0.000,0.048,0.000,0.024,0.000,0.048
fr,KNN,SMOTE,kNN_SMOTE,0.024,0.000,0.000,0.024,0.024,0.048
fr,KNN,SVMSMOTE,kNN_SVMSMOTE,0.024,0.048,0.000,0.048,0.000,0.119
fr,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.000,0.048,0.048,0.071,0.000,**0.143**
fr,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.000,0.071,0.048,0.048,0.000,0.048
fr,LinearSVM,No Upsampling,LinearSVMDual,0.000,0.071,0.024,0.071,0.000,0.095
fr,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.000,0.071,0.024,0.071,0.000,0.119
fr,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.000,0.048,0.000,0.071,0.024,0.071
fr,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.000,0.048,0.048,0.095,0.000,0.095
fr,LogisticRegression,No Upsampling,LogisticRegression,0.000,0.048,0.048,0.071,0.048,0.119
fr,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.000,0.071,0.048,0.071,0.048,0.095
fr,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.000,0.071,0.048,0.071,0.048,0.071
fr,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.000,0.048,0.024,0.095,0.024,0.071
fr,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.000,0.024,0.048,0.071,0.000,0.119
fr,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.000,0.071,0.048,0.071,0.071,0.071
fr,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.000,0.048,0.000,0.071,0.071,0.095
fr,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.000,0.071,0.024,0.071,0.071,0.071
fr,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.024,0.048,0.024,0.071,0.024,0.071
fr,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.000,0.000,0.024,0.024,0.071,0.095
fr,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.024,0.024,0.024,0.024,0.048,0.048
fr,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.024,0.000,0.024,0.024,0.071,0.071
fr,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.000,0.000,0.024,0.024,0.071,0.024
fr,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.024,0.048,0.024,0.024,0.071,0.071
fr,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.000,0.048,0.024,0.048,0.000,0.095
fr,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.000,0.048,0.024,0.071,0.000,0.095
fr,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.024,0.048,0.000,0.071,0.048,0.119
fr,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.000,0.071,0.024,0.024,0.000,0.095
fr,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.000,0.071,0.000,0.024,0.071,0.024
fr,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.024,0.071,0.024,0.048,0.071,0.071
fr,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.024,0.119,0.000,0.071,0.048,0.071
fr,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.024,0.000,0.024,0.048,0.000,0.119
fr,NaiveBayes,No Upsampling,NaiveBayes,0.024,0.000,0.024,0.048,0.000,0.024
fr,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.024,0.000,0.024,0.048,0.000,0.095
fr,NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.024,0.048,0.024,0.048,0.048,0.048
fr,NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.024,0.095,0.024,0.071,0.048,0.095
fr,NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.024,0.024,0.048,0.071,0.071,0.071
fr,NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.024,0.048,0.024,0.071,0.000,0.048
fr,NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.024,0.048,0.048,0.071,0.048,0.048
fr,RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.024,0.024,0.000,0.048,0.000,0.024
fr,RandomForest,No Upsampling,RandomForest,0.000,0.000,0.000,0.000,0.000,0.024
fr,RandomForest,Random Oversampling,RandomForest_ROS,0.000,0.000,0.024,0.024,0.024,0.000
fr,RandomForest,SMOTE,RandomForest_SMOTE,0.024,0.024,0.048,0.048,0.000,0.000
fr,RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.000,0.024,0.000,0.000,0.024,0.000
fr,RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.000,0.024,0.048,0.048,0.000,0.071
fr,RidgeClassifier,No Upsampling,RidgeClassifier,0.000,0.048,0.048,0.071,0.000,0.071
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.024,0.024,0.048,0.071,0.000,0.048
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.000,0.024,0.048,0.071,0.000,0.071
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.000,0.048,0.024,0.071,0.000,0.095
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.024,0.048,0.048,0.024,0.000,0.119
fr,SVM,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.024,0.024,0.024,0.024,0.000,0.095
fr,SVM,No Upsampling,SVM_rbf,0.000,0.024,0.000,0.024,0.024,0.071
fr,SVM,No Upsampling,SVM_sigmoid,0.000,0.000,0.024,0.048,0.024,0.095
fr,SVM,Random Oversampling,SVM_rbf_ROS,0.000,0.048,0.048,0.071,0.024,0.119
fr,SVM,Random Oversampling,SVM_sigmoid_ROS,0.000,0.000,0.000,0.048,0.024,0.095
fr,SVM,SMOTE,SVM_rbf_SMOTE,0.000,0.048,0.024,0.024,0.024,0.048
fr,SVM,SMOTE,SVM_sigmoid_SMOTE,0.024,0.000,0.000,0.024,0.024,0.095
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.000,0.071,0.000,0.048,0.024,0.071
fr,SVM,SVMSMOTE,SVM_sigmoid_SVMSMOTE,0.000,0.000,0.024,0.048,0.048,0.119
fr,XGBoost,BorderlineSMOTE,XGBoost_broad_BorderlineSMOTE,0.000,0.024,0.024,0.024,0.048,0.048
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.024,0.024,0.024,0.024,0.024,0.048
fr,XGBoost,No Upsampling,XGBoost_broad,0.000,0.024,0.000,0.024,0.048,0.071
fr,XGBoost,No Upsampling,XGBoost_narrow,0.024,0.024,0.000,0.024,0.024,0.024
fr,XGBoost,Random Oversampling,XGBoost_broad_ROS,0.000,0.000,0.000,0.024,0.024,0.048
fr,XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.024,0.048,0.024,0.024,0.024,0.024
fr,XGBoost,SMOTE,XGBoost_broad_SMOTE,0.024,0.024,0.024,0.048,0.000,0.024
fr,XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.024,0.048,0.000,0.000,0.024,0.048
fr,XGBoost,SVMSMOTE,XGBoost_broad_SVMSMOTE,0.024,0.024,0.000,0.024,0.048,0.024
fr,XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0.000,0.024,0.024,0.024,0.024,0.000
ge,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.029,0.000,0.000,0.000,0.000,0.029
ge,KNN,No Upsampling,kNN,0.029,0.000,0.000,0.000,0.000,0.000
ge,KNN,Random Oversampling,kNN_ROS,0.029,0.000,0.000,0.000,0.000,0.029
ge,KNN,SMOTE,kNN_SMOTE,0.029,0.000,0.000,0.000,0.000,0.000
ge,KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.000,0.000,0.000,0.000,0.000
ge,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LinearSVM,No Upsampling,LinearSVMDual,0.000,0.000,0.000,0.000,0.000,0.000
ge,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.000,0.000,0.000,0.000,0.000,0.000
ge,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegression,No Upsampling,LogisticRegression,0.000,0.000,0.000,0.000,0.000,0.029
ge,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.000,0.000,0.000,0.000,0.000,0.029
ge,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.029,0.000
ge,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.000,0.000,0.000,0.000,0.029,0.000
ge,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.000,0.000,0.000,0.029,0.000,0.000
ge,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.029,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.000,0.000,0.000,0.000,0.029,0.000
ge,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.029,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.000,0.000,0.000,0.000,0.029,0.000
ge,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.000,0.000,0.000,0.000,0.029,0.000
ge,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.000,0.000,0.000,0.000,0.029,0.000
ge,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,**0.057**
ge,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.000,0.000,0.000,0.029,0.029,**0.057**
ge,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,NaiveBayes,No Upsampling,NaiveBayes,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.000,0.000,0.000,0.000,0.000,**0.057**
ge,NaiveBayes,SVMSMOTE,ComplementNaiveBayes_SVMSMOTE,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,NaiveBayes,SVMSMOTE,NaiveBayes_SVMSMOTE,0.000,0.000,0.000,0.000,0.029,**0.057**
ge,RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.000,0.029,0.000,0.000,0.000,0.000
ge,RandomForest,No Upsampling,RandomForest,0.000,0.000,0.000,0.029,0.000,0.029
ge,RandomForest,Random Oversampling,RandomForest_ROS,0.000,0.000,0.000,0.000,0.000,0.029
ge,RandomForest,SMOTE,RandomForest_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.000,0.000,0.000,0.029,0.000,0.029
ge,RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,RidgeClassifier,No Upsampling,RidgeClassifier,0.000,0.000,0.000,0.000,0.000,0.029
ge,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.000,0.000,0.000,0.000,0.000,0.029
ge,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.029
ge,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.029,0.000
ge,SVM,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.029,0.029
ge,SVM,No Upsampling,SVM_rbf,0.000,0.000,0.000,0.000,0.029,0.029
ge,SVM,No Upsampling,SVM_sigmoid,0.000,0.000,0.000,0.000,0.029,0.000
ge,SVM,Random Oversampling,SVM_rbf_ROS,0.000,0.000,0.000,0.000,0.029,0.000
ge,SVM,Random Oversampling,SVM_sigmoid_ROS,0.000,0.000,0.000,0.000,0.029,0.029
ge,SVM,SMOTE,SVM_rbf_SMOTE,0.000,0.000,0.000,0.000,**0.057**,0.000
ge,SVM,SMOTE,SVM_sigmoid_SMOTE,0.000,0.000,0.000,0.000,0.029,0.029
ge,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.000,0.000,0.000,0.000,0.029,0.000
ge,SVM,SVMSMOTE,SVM_sigmoid_SVMSMOTE,0.000,0.000,0.000,0.000,0.029,0.029
ge,XGBoost,BorderlineSMOTE,XGBoost_broad_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.029,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,No Upsampling,XGBoost_broad,0.000,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,No Upsampling,XGBoost_narrow,0.029,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,Random Oversampling,XGBoost_broad_ROS,0.000,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.000,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,SMOTE,XGBoost_broad_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.029,0.000,0.000,0.000,0.000,0.000
ge,XGBoost,SVMSMOTE,XGBoost_broad_SVMSMOTE,0.029,0.000,0.000,0.029,0.000,0.000
ge,XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0.000,0.000,0.000,0.029,0.000,0.000
it,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.083,0.050,0.067,0.117,0.067,0.017
it,KNN,No Upsampling,kNN,0.050,0.067,0.067,0.100,0.050,**0.167**
it,KNN,Random Oversampling,kNN_ROS,0.033,0.000,0.117,0.017,0.050,**0.167**
it,KNN,SMOTE,kNN_SMOTE,0.000,0.067,0.117,0.100,0.050,0.117
it,KNN,SVMSMOTE,kNN_SVMSMOTE,0.017,0.067,0.050,0.083,0.117,0.117
it,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.017,0.083,0.033,0.067,0.050,0.083
it,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.033,0.083,0.050,0.067,0.050,0.133
it,LinearSVM,No Upsampling,LinearSVMDual,0.033,0.083,0.050,0.067,0.050,0.150
it,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.033,0.067,0.100,0.067,0.050,0.150
it,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.033,0.067,0.067,0.083,0.050,0.150
it,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.000,0.050,0.050,0.033,0.033,0.050
it,LogisticRegression,No Upsampling,LogisticRegression,0.067,0.100,0.050,0.067,0.067,**0.167**
it,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.067,0.083,0.033,0.067,0.050,0.150
it,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.067,0.100,0.050,0.067,0.067,0.133
it,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.067,0.050,0.033,0.067,0.050,0.117
it,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.050,0.083,0.050,0.067,0.050,0.100
it,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.050,0.067,0.033,0.067,0.100,0.133
it,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.033,0.050,0.033,0.067,0.067,0.133
it,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.050,0.067,0.033,0.067,0.083,0.100
it,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.050,0.083,0.033,0.067,0.083,0.133
it,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.067,0.050,0.033,0.033,0.017,0.050
it,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.033,0.033,0.033,0.017,0.050,0.033
it,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.083,0.033,0.017,0.033,0.067,0.033
it,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.067,0.083,0.033,0.050,0.050,0.083
it,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.067,0.067,0.033,0.033,0.067,0.050
it,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.033,0.083,0.033,0.017,0.067,0.100
it,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.033,0.083,0.033,0.067,0.067,0.133
it,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.033,0.067,0.050,0.083,0.083,0.117
it,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,0.033,0.067,0.033,0.017,0.067,0.133
it,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,0.033,0.083,0.100,0.100,0.033,0.117
