language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,RandomForest,0.01 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.03,0.05 $\pm$ 0.00,0.06 $\pm$ 0.01,0.09 $\pm$ 0.01
en,RidgeClassifier,0.04 $\pm$ 0.01,0.07 $\pm$ 0.01,0.06 $\pm$ 0.01,0.06 $\pm$ 0.01,0.06 $\pm$ 0.01,0.08 $\pm$ 0.01
en,SVM,0.03 $\pm$ 0.00,0.04 $\pm$ 0.02,0.05 $\pm$ 0.02,0.06 $\pm$ 0.00,0.05 $\pm$ 0.01,0.06 $\pm$ 0.01
en,XGBoost,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.02,0.05 $\pm$ 0.00,0.07 $\pm$ 0.02,0.08 $\pm$ 0.00
fr,Binary Relevance kNN,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.03 $\pm$ 0.02,0.05 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.02
fr,ComplementNB,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.05 $\pm$ 0.02
fr,KNN,0.00 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
fr,LinearSVM,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.01,0.03 $\pm$ 0.01
fr,LogisticRegression,0.02 $\pm$ 0.01,0.04 $\pm$ 0.02,0.03 $\pm$ 0.02,0.01 $\pm$ 0.01,0.03 $\pm$ 0.02,0.04 $\pm$ 0.01
fr,LogisticRegressionElasticNet,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01
fr,LogisticRegressionLasso,0.02 $\pm$ 0.02,0.02 $\pm$ 0.02,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
fr,LogisticRegressionRidge,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.01,0.01 $\pm$ 0.01
fr,Multi-label ARAM,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
fr,Multilabel k Nearest Neighbours,0.01 $\pm$ 0.01,0.01 $\pm$ 0.00,0.05 $\pm$ 0.01,0.08 $\pm$ 0.04,0.06 $\pm$ 0.01,0.08 $\pm$ 0.03
fr,NaiveBayes,0.00 $\pm$ 0.00,0.00 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.00,0.03 $\pm$ 0.02,0.06 $\pm$ 0.03
fr,RandomForest,0.00 $\pm$ 0.00,0.00 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01
fr,RidgeClassifier,0.02 $\pm$ 0.01,0.04 $\pm$ 0.02,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.05 $\pm$ 0.02,**0.09 $\pm$ 0.01**
fr,SVM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.01,0.00 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
fr,XGBoost,0.02 $\pm$ 0.02,0.00 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.01,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01
ge,Binary Relevance kNN,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.00 $\pm$ 0.00,**0.04 $\pm$ 0.02**
ge,ComplementNB,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01
ge,KNN,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
ge,LinearSVM,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
ge,LogisticRegression,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.00
ge,LogisticRegressionElasticNet,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
ge,LogisticRegressionLasso,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
ge,LogisticRegressionRidge,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
ge,Multi-label ARAM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.00 $\pm$ 0.00
ge,Multilabel k Nearest Neighbours,0.01 $\pm$ 0.01,0.01 $\pm$ 0.02,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02
ge,NaiveBayes,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01
ge,RandomForest,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02
ge,RidgeClassifier,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
ge,SVM,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
ge,XGBoost,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.02,0.01 $\pm$ 0.01
it,Binary Relevance kNN,0.03 $\pm$ 0.00,0.03 $\pm$ 0.00,0.04 $\pm$ 0.01,0.05 $\pm$ 0.02,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01
it,ComplementNB,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.03 $\pm$ 0.00,0.03 $\pm$ 0.02,0.05 $\pm$ 0.00
it,KNN,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
it,LinearSVM,0.01 $\pm$ 0.00,0.02 $\pm$ 0.02,0.00 $\pm$ 0.00,0.02 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00
it,LogisticRegression,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.03 $\pm$ 0.00,0.01 $\pm$ 0.00,0.03 $\pm$ 0.01
it,LogisticRegressionElasticNet,0.01 $\pm$ 0.01,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
it,LogisticRegressionLasso,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
it,LogisticRegressionRidge,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.00,0.02 $\pm$ 0.02
it,Multi-label ARAM,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
it,Multilabel k Nearest Neighbours,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.03,0.04 $\pm$ 0.02
it,NaiveBayes,0.01 $\pm$ 0.00,0.02 $\pm$ 0.02,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02,0.04 $\pm$ 0.01
it,RandomForest,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01,0.01 $\pm$ 0.00,0.03 $\pm$ 0.02
it,RidgeClassifier,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.02 $\pm$ 0.01,**0.07 $\pm$ 0.01**
it,SVM,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.00,0.00 $\pm$ 0.00,0.03 $\pm$ 0.01
it,XGBoost,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.03 $\pm$ 0.02
po,Binary Relevance kNN,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01
po,ComplementNB,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.02,0.04 $\pm$ 0.03,0.04 $\pm$ 0.02
po,KNN,0.00 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
po,LinearSVM,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01,0.05 $\pm$ 0.04
po,LogisticRegression,0.00 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.03,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01
po,LogisticRegressionElasticNet,0.00 $\pm$ 0.01,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01
po,LogisticRegressionLasso,0.00 $\pm$ 0.00,0.04 $\pm$ 0.02,0.02 $\pm$ 0.00,0.01 $\pm$ 0.02,0.02 $\pm$ 0.01,0.00 $\pm$ 0.00
po,LogisticRegressionRidge,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01,0.01 $\pm$ 0.01,0.03 $\pm$ 0.02
po,Multi-label ARAM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
po,Multilabel k Nearest Neighbours,0.01 $\pm$ 0.01,0.00 $\pm$ 0.01,0.00 $\pm$ 0.01,0.05 $\pm$ 0.00,0.06 $\pm$ 0.01,0.05 $\pm$ 0.02
po,NaiveBayes,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02,0.04 $\pm$ 0.03,0.05 $\pm$ 0.01
po,RandomForest,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.03 $\pm$ 0.02,0.02 $\pm$ 0.02,0.06 $\pm$ 0.02
po,RidgeClassifier,0.00 $\pm$ 0.01,0.04 $\pm$ 0.02,0.04 $\pm$ 0.02,0.03 $\pm$ 0.01,0.05 $\pm$ 0.03,**0.09 $\pm$ 0.02**
po,SVM,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.04 $\pm$ 0.02,0.02 $\pm$ 0.01,0.06 $\pm$ 0.02
po,XGBoost,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.03 $\pm$ 0.02
ru,Binary Relevance kNN,0.05 $\pm$ 0.01,0.07 $\pm$ 0.03,0.05 $\pm$ 0.02,0.10 $\pm$ 0.03,0.05 $\pm$ 0.03,0.06 $\pm$ 0.05
ru,ComplementNB,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.04 $\pm$ 0.02,0.05 $\pm$ 0.02,0.06 $\pm$ 0.05,0.06 $\pm$ 0.01
ru,KNN,0.01 $\pm$ 0.02,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.01 $\pm$ 0.01,0.04 $\pm$ 0.02
ru,LinearSVM,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.02,0.02 $\pm$ 0.01,0.07 $\pm$ 0.03
ru,LogisticRegression,0.02 $\pm$ 0.01,0.06 $\pm$ 0.01,0.08 $\pm$ 0.02,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.02
ru,LogisticRegressionElasticNet,0.01 $\pm$ 0.02,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.02 $\pm$ 0.02,0.03 $\pm$ 0.00,0.03 $\pm$ 0.01
ru,LogisticRegressionLasso,0.02 $\pm$ 0.02,0.04 $\pm$ 0.04,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.05 $\pm$ 0.01,0.02 $\pm$ 0.01
ru,LogisticRegressionRidge,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.08 $\pm$ 0.02,0.11 $\pm$ 0.02
ru,Multi-label ARAM,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.03 $\pm$ 0.04,0.02 $\pm$ 0.03,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
ru,Multilabel k Nearest Neighbours,0.02 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01,0.10 $\pm$ 0.01,0.09 $\pm$ 0.04,0.10 $\pm$ 0.04
ru,NaiveBayes,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.05 $\pm$ 0.00,0.07 $\pm$ 0.02
ru,RandomForest,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.02,0.06 $\pm$ 0.03,0.04 $\pm$ 0.02,0.09 $\pm$ 0.01
ru,RidgeClassifier,0.01 $\pm$ 0.01,0.06 $\pm$ 0.01,0.09 $\pm$ 0.02,0.06 $\pm$ 0.01,0.07 $\pm$ 0.01,0.09 $\pm$ 0.01
ru,SVM,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.04 $\pm$ 0.02,0.03 $\pm$ 0.03,0.03 $\pm$ 0.03,0.03 $\pm$ 0.02
ru,XGBoost,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01,0.05 $\pm$ 0.02,0.05 $\pm$ 0.02,**0.12 $\pm$ 0.01**
