language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,LogisticRegressionLasso,SVMSMOTE,0.555,0.615,0.624,0.624,0.655,0.645
en,LogisticRegressionRidge,BorderlineSMOTE,0.610,0.629,0.629,0.651,0.645,0.691
en,LogisticRegressionRidge,No Upsampling,0.598,0.618,0.616,0.642,0.634,0.681
en,LogisticRegressionRidge,Random Oversampling,0.607,0.629,0.639,0.659,0.646,0.699
en,LogisticRegressionRidge,SMOTE,0.603,0.629,0.631,0.648,0.642,0.687
en,LogisticRegressionRidge,SVMSMOTE,0.588,0.628,0.643,0.669,0.659,0.700
en,NaiveBayes,BorderlineSMOTE,0.621,0.689,0.707,0.707,0.701,0.716
en,NaiveBayes,No Upsampling,0.611,0.670,0.676,0.651,0.639,0.650
en,NaiveBayes,Random Oversampling,0.631,0.695,0.718,0.712,0.713,0.717
en,NaiveBayes,SMOTE,0.623,0.694,0.716,0.711,0.710,**0.719**
en,RandomForest,BorderlineSMOTE,0.550,0.599,0.626,0.629,0.646,0.654
en,RandomForest,No Upsampling,0.530,0.606,0.615,0.626,0.622,0.639
en,RandomForest,Random Oversampling,0.581,0.616,0.632,0.634,0.663,0.656
en,RandomForest,SMOTE,0.552,0.604,0.624,0.631,0.658,0.644
en,RandomForest,SVMSMOTE,0.556,0.609,0.619,0.654,0.635,0.655
en,RidgeClassifier,BorderlineSMOTE,0.602,0.625,0.636,0.643,0.650,0.685
en,RidgeClassifier,No Upsampling,0.599,0.625,0.636,0.643,0.650,0.685
en,RidgeClassifier,Random Oversampling,0.600,0.625,0.636,0.643,0.650,0.685
en,RidgeClassifier,SMOTE,0.599,0.625,0.636,0.643,0.650,0.685
en,RidgeClassifier,SVMSMOTE,0.589,0.640,0.635,0.660,0.656,0.689
en,SVM,BorderlineSMOTE,0.414,0.366,0.433,0.483,0.498,0.531
en,SVM,No Upsampling,0.416,0.391,0.436,0.468,0.490,0.535
en,SVM,Random Oversampling,0.467,0.472,0.489,0.518,0.541,0.569
en,SVM,SMOTE,0.404,0.360,0.425,0.497,0.492,0.530
en,SVM,SVMSMOTE,0.403,0.389,0.470,0.523,0.520,0.553
en,XGBoost,BorderlineSMOTE,0.477,0.581,0.603,0.596,0.615,0.632
en,XGBoost,No Upsampling,0.506,0.574,0.602,0.607,0.613,0.632
en,XGBoost,Random Oversampling,0.512,0.600,0.610,0.600,0.633,0.631
en,XGBoost,SMOTE,0.526,0.575,0.606,0.601,0.624,0.634
en,XGBoost,SVMSMOTE,0.521,0.577,0.615,0.616,0.637,0.648
fr,Dummy Classifier,No Upsampling,0.389,0.365,0.341,0.329,0.371,0.332
fr,KNN,BorderlineSMOTE,0.413,0.430,0.401,0.414,0.348,0.436
fr,KNN,No Upsampling,0.230,0.256,0.194,0.119,0.059,0.070
fr,KNN,Random Oversampling,0.331,0.433,0.333,0.273,0.141,0.240
fr,KNN,SMOTE,0.414,0.435,0.436,0.433,0.342,0.432
fr,KNN,SVMSMOTE,0.412,0,0,0,0,0.436
fr,LinearSVM,BorderlineSMOTE,0.248,0.319,0.322,0.251,0.327,0.311
fr,LinearSVM,No Upsampling,0.248,0.319,0.322,0.251,0.327,0.311
fr,LinearSVM,Random Oversampling,0.248,0.319,0.322,0.251,0.327,0.311
fr,LinearSVM,SMOTE,0.248,0.319,0.322,0.251,0.327,0.311
fr,LogisticRegression,BorderlineSMOTE,0.255,0.315,0.310,0.256,0.316,0.337
fr,LogisticRegression,No Upsampling,0.250,0.331,0.327,0.250,0.313,0.327
fr,LogisticRegression,Random Oversampling,0.273,0.308,0.312,0.252,0.308,0.316
fr,LogisticRegression,SMOTE,0.274,0.325,0.310,0.249,0.336,0.321
fr,LogisticRegression,SVMSMOTE,0.317,0.349,0.322,0.254,0.331,0.335
fr,LogisticRegressionElasticNet,BorderlineSMOTE,0.233,0.353,0.312,0.295,0.355,0.324
fr,LogisticRegressionElasticNet,No Upsampling,0.225,0.340,0.304,0.272,0.333,0.316
fr,LogisticRegressionElasticNet,Random Oversampling,0.233,0.354,0.312,0.294,0.361,0.351
fr,LogisticRegressionElasticNet,SMOTE,0.233,0.353,0.300,0.301,0.354,0.325
fr,LogisticRegressionElasticNet,SVMSMOTE,0.241,0.365,0.339,0.273,0.347,0.337
fr,LogisticRegressionLasso,BorderlineSMOTE,0.280,0.418,0.306,0.298,0.372,0.407
fr,LogisticRegressionLasso,No Upsampling,0.279,0.436,0.282,0.280,0.370,0.394
fr,LogisticRegressionLasso,Random Oversampling,0.281,0.440,0.330,0.293,0.389,0.430
fr,LogisticRegressionLasso,SMOTE,0.278,0.438,0.299,0.281,0.375,0.399
fr,LogisticRegressionLasso,SVMSMOTE,0.248,0.381,0.365,0.273,0.382,0.390
fr,LogisticRegressionRidge,BorderlineSMOTE,0.280,0.345,0.323,0.267,0.294,0.310
fr,LogisticRegressionRidge,No Upsampling,0.261,0.332,0.316,0.280,0.286,0.262
fr,LogisticRegressionRidge,Random Oversampling,0.285,0.385,0.327,0.308,0.313,0.323
fr,LogisticRegressionRidge,SMOTE,0.274,0.348,0.321,0.279,0.315,0.309
fr,LogisticRegressionRidge,SVMSMOTE,0.332,0.339,0.306,0.273,0.286,0.274
fr,NaiveBayes,BorderlineSMOTE,0.384,0.417,0.442,0.443,0.472,0.533
fr,NaiveBayes,No Upsampling,0.275,0.366,0.354,0.288,0.270,0.264
fr,NaiveBayes,Random Oversampling,0.375,0.421,0.447,0.453,0.470,**0.556**
fr,NaiveBayes,SMOTE,0.364,0.434,0.446,0.482,0.465,0.525
fr,RandomForest,BorderlineSMOTE,0.262,0.271,0.241,0.249,0.270,0.311
fr,RandomForest,No Upsampling,0.259,0.256,0.245,0.284,0.259,0.243
fr,RandomForest,Random Oversampling,0.271,0.308,0.272,0.272,0.314,0.343
fr,RandomForest,SMOTE,0.255,0.258,0.242,0.227,0.299,0.315
fr,RandomForest,SVMSMOTE,0.270,0.268,0.257,0.251,0.307,0.299
fr,RidgeClassifier,BorderlineSMOTE,0.281,0.394,0.324,0.292,0.312,0.324
fr,RidgeClassifier,No Upsampling,0.281,0.394,0.324,0.292,0.312,0.324
fr,RidgeClassifier,Random Oversampling,0.281,0.394,0.324,0.292,0.312,0.324
fr,RidgeClassifier,SMOTE,0.281,0.394,0.324,0.292,0.312,0.324
fr,RidgeClassifier,SVMSMOTE,0.355,0.383,0.312,0.273,0.288,0.328
fr,SVM,BorderlineSMOTE,0.125,0.000,0.000,0.000,0.015,0.000
fr,SVM,No Upsampling,0.067,0.000,0.015,0.000,0.015,0.000
fr,SVM,Random Oversampling,0.165,0.049,0.094,0.044,0.063,0.000
fr,SVM,SMOTE,0.151,0.000,0.000,0.000,0.015,0.000
fr,SVM,SVMSMOTE,0.297,0.014,0.015,0.000,0.000,0.015
fr,XGBoost,BorderlineSMOTE,0.194,0.324,0.280,0.290,0.330,0.342
fr,XGBoost,No Upsampling,0.199,0.300,0.294,0.271,0.310,0.371
fr,XGBoost,Random Oversampling,0.237,0.317,0.313,0.303,0.344,0.398
fr,XGBoost,SMOTE,0.210,0.339,0.277,0.256,0.308,0.419
fr,XGBoost,SVMSMOTE,0.162,0.308,0.277,0.250,0.306,0.340
ge,Dummy Classifier,No Upsampling,0.434,0.453,0.449,0.423,0.474,0.443
ge,KNN,BorderlineSMOTE,0.422,0.508,0.476,0.505,0.379,0.362
ge,KNN,No Upsampling,0.315,0.364,0.309,0.269,0.246,0.039
ge,KNN,Random Oversampling,0.390,0.459,0.407,0.352,0.326,0.070
ge,KNN,SMOTE,0.440,0.497,0.447,0.518,0.443,0.407
ge,KNN,SVMSMOTE,0,0.513,0.509,0,0,0
ge,LinearSVM,BorderlineSMOTE,0.338,0.365,0.395,0.382,0.426,0.459
ge,LinearSVM,No Upsampling,0.338,0.365,0.395,0.382,0.426,0.459
ge,LinearSVM,Random Oversampling,0.338,0.365,0.395,0.382,0.426,0.459
ge,LinearSVM,SMOTE,0.338,0.365,0.395,0.382,0.426,0.459
ge,LogisticRegression,BorderlineSMOTE,0.336,0.364,0.401,0.394,0.412,0.455
ge,LogisticRegression,No Upsampling,0.340,0.367,0.382,0.337,0.439,0.456
ge,LogisticRegression,Random Oversampling,0.338,0.364,0.392,0.413,0.407,0.466
ge,LogisticRegression,SMOTE,0.336,0.365,0.392,0.396,0.416,0.461
ge,LogisticRegression,SVMSMOTE,0.334,0.401,0.409,0.367,0.441,0.460
ge,LogisticRegressionElasticNet,BorderlineSMOTE,0.284,0.392,0.403,0.387,0.431,0.490
ge,LogisticRegressionElasticNet,No Upsampling,0.284,0.362,0.395,0.396,0.420,0.467
ge,LogisticRegressionElasticNet,Random Oversampling,0.284,0.382,0.409,0.397,0.429,0.491
ge,LogisticRegressionElasticNet,SMOTE,0.284,0.388,0.406,0.393,0.426,0.488
ge,LogisticRegressionElasticNet,SVMSMOTE,0.284,0.387,0.419,0.390,0.429,0.472
ge,LogisticRegressionLasso,BorderlineSMOTE,0.202,0.388,0.415,0.381,0.440,0.518
ge,LogisticRegressionLasso,No Upsampling,0.202,0.388,0.397,0.376,0.429,0.485
ge,LogisticRegressionLasso,Random Oversampling,0.209,0.402,0.408,0.389,0.466,0.516
ge,LogisticRegressionLasso,SMOTE,0.202,0.394,0.408,0.380,0.448,0.521
ge,LogisticRegressionLasso,SVMSMOTE,0.217,0.391,0.429,0.374,0.467,0.509
ge,LogisticRegressionRidge,BorderlineSMOTE,0.334,0.479,0.470,0.430,0.423,0.446
ge,LogisticRegressionRidge,No Upsampling,0.337,0.463,0.451,0.412,0.417,0.436
ge,LogisticRegressionRidge,Random Oversampling,0.341,0.481,0.454,0.437,0.461,0.446
ge,LogisticRegressionRidge,SMOTE,0.335,0.475,0.460,0.421,0.431,0.446
ge,LogisticRegressionRidge,SVMSMOTE,0.350,0.450,0.448,0.424,0.447,0.449
ge,NaiveBayes,BorderlineSMOTE,0.365,0.524,0.556,0.559,0.544,0.579
ge,NaiveBayes,No Upsampling,0.333,0.455,0.471,0.476,0.476,0.467
ge,NaiveBayes,Random Oversampling,0.376,0.555,0.550,0.572,0.548,0.583
ge,NaiveBayes,SMOTE,0.358,0.528,0.544,0.558,0.551,**0.585**
ge,RandomForest,BorderlineSMOTE,0.304,0.439,0.362,0.393,0.395,0.415
ge,RandomForest,No Upsampling,0.315,0.484,0.378,0.390,0.393,0.423
ge,RandomForest,Random Oversampling,0.324,0.550,0.409,0.398,0.418,0.427
ge,RandomForest,SMOTE,0.300,0.461,0.352,0.393,0.379,0.436
ge,RandomForest,SVMSMOTE,0.302,0.469,0.386,0.405,0.415,0.433
ge,RidgeClassifier,BorderlineSMOTE,0.339,0.486,0.460,0.436,0.442,0.453
ge,RidgeClassifier,No Upsampling,0.339,0.486,0.460,0.436,0.442,0.453
ge,RidgeClassifier,Random Oversampling,0.339,0.486,0.460,0.436,0.442,0.453
ge,RidgeClassifier,SMOTE,0.339,0.486,0.460,0.436,0.442,0.453
ge,RidgeClassifier,SVMSMOTE,0.347,0.504,0.443,0.431,0.451,0.457
ge,SVM,BorderlineSMOTE,0.338,0.199,0.184,0.199,0.212,0.271
ge,SVM,No Upsampling,0.203,0.165,0.155,0.278,0.320,0.406
ge,SVM,Random Oversampling,0.218,0.159,0.274,0.359,0.308,0.424
ge,SVM,SMOTE,0.345,0.196,0.189,0.199,0.210,0.263
ge,SVM,SVMSMOTE,0.417,0.199,0.191,0.188,0.223,0.225
ge,XGBoost,BorderlineSMOTE,0.246,0.501,0.359,0.354,0.433,0.477
ge,XGBoost,No Upsampling,0.256,0.531,0.392,0.372,0.442,0.464
ge,XGBoost,Random Oversampling,0.290,0.543,0.402,0.395,0.430,0.501
ge,XGBoost,SMOTE,0.258,0.501,0.355,0.343,0.427,0.466
ge,XGBoost,SVMSMOTE,0.252,0.511,0.385,0.376,0.415,0.444
it,Dummy Classifier,No Upsampling,0.388,0.395,0.376,0.386,0.360,0.379
it,KNN,BorderlineSMOTE,0.522,0.472,0.502,0.487,0.459,0.503
it,KNN,No Upsampling,0.383,0.146,0.081,0.186,0.128,0.037
it,KNN,Random Oversampling,0.450,0.277,0.311,0.300,0.307,0.143
it,KNN,SMOTE,0.515,0.491,0.502,0.502,0.451,0.503
it,KNN,SVMSMOTE,0.523,0.456,0.502,0,0.452,0.500
it,LinearSVM,BorderlineSMOTE,0.394,0.392,0.387,0.432,0.420,0.476
it,LinearSVM,No Upsampling,0.394,0.384,0.387,0.432,0.420,0.476
it,LinearSVM,Random Oversampling,0.394,0.384,0.387,0.432,0.420,0.476
it,LinearSVM,SMOTE,0.406,0.401,0.387,0.432,0.420,0.476
it,LogisticRegression,BorderlineSMOTE,0.396,0.387,0.387,0.423,0.432,0.475
it,LogisticRegression,No Upsampling,0.388,0.376,0.358,0.424,0.420,0.443
it,LogisticRegression,Random Oversampling,0.394,0.391,0.388,0.424,0.422,0.468
it,LogisticRegression,SMOTE,0.382,0.370,0.395,0.433,0.425,0.465
it,LogisticRegression,SVMSMOTE,0.446,0.383,0.382,0.411,0.442,0.486
it,LogisticRegressionElasticNet,BorderlineSMOTE,0.346,0.395,0.402,0.428,0.479,0.434
it,LogisticRegressionElasticNet,No Upsampling,0.343,0.371,0.379,0.416,0.451,0.425
it,LogisticRegressionElasticNet,Random Oversampling,0.347,0.391,0.399,0.426,0.489,0.442
it,LogisticRegressionElasticNet,SMOTE,0.353,0.393,0.407,0.428,0.496,0.434
it,LogisticRegressionElasticNet,SVMSMOTE,0.365,0.395,0.394,0.433,0.489,0.482
it,LogisticRegressionLasso,BorderlineSMOTE,0.326,0.405,0.332,0.421,0.435,0.456
it,LogisticRegressionLasso,No Upsampling,0.320,0.403,0.324,0.413,0.424,0.452
it,LogisticRegressionLasso,Random Oversampling,0.334,0.401,0.328,0.433,0.454,0.480
it,LogisticRegressionLasso,SMOTE,0.320,0.417,0.324,0.439,0.434,0.462
it,LogisticRegressionLasso,SVMSMOTE,0.343,0.420,0.399,0.457,0.481,0.487
it,LogisticRegressionRidge,BorderlineSMOTE,0.428,0.439,0.411,0.456,0.420,0.467
it,LogisticRegressionRidge,No Upsampling,0.391,0.418,0.399,0.455,0.398,0.460
it,LogisticRegressionRidge,Random Oversampling,0.408,0.434,0.416,0.466,0.413,0.465
it,LogisticRegressionRidge,SMOTE,0.416,0.438,0.417,0.464,0.424,0.461
it,LogisticRegressionRidge,SVMSMOTE,0.431,0.403,0.396,0.448,0.435,0.473
it,NaiveBayes,BorderlineSMOTE,0.509,0.509,0.549,0.577,0.577,**0.629**
it,NaiveBayes,No Upsampling,0.433,0.395,0.396,0.411,0.418,0.401
it,NaiveBayes,Random Oversampling,0.502,0.543,0.553,0.577,0.594,0.625
it,NaiveBayes,SMOTE,0.479,0.503,0.547,0.589,0.588,0.615
it,RandomForest,BorderlineSMOTE,0.310,0.427,0.409,0.443,0.409,0.451
it,RandomForest,No Upsampling,0.346,0.400,0.402,0.413,0.374,0.444
it,RandomForest,Random Oversampling,0.351,0.457,0.430,0.476,0.446,0.502
it,RandomForest,SMOTE,0.327,0.421,0.398,0.446,0.396,0.473
it,RandomForest,SVMSMOTE,0.325,0.396,0.373,0.462,0.365,0.470
it,RidgeClassifier,BorderlineSMOTE,0.405,0.427,0.412,0.459,0.424,0.463
it,RidgeClassifier,No Upsampling,0.401,0.431,0.412,0.459,0.424,0.463
it,RidgeClassifier,Random Oversampling,0.401,0.431,0.412,0.459,0.424,0.463
it,RidgeClassifier,SMOTE,0.401,0.431,0.412,0.459,0.424,0.463
it,RidgeClassifier,SVMSMOTE,0.450,0.418,0.402,0.446,0.435,0.508
it,SVM,BorderlineSMOTE,0.226,0.017,0.024,0.059,0.072,0.160
it,SVM,No Upsampling,0.160,0.008,0.032,0.142,0.142,0.257
it,SVM,Random Oversampling,0.278,0.033,0.041,0.218,0.166,0.338
it,SVM,SMOTE,0.229,0.017,0.024,0.067,0.043,0.182
it,SVM,SVMSMOTE,0.359,0.017,0.024,0.040,0.024,0.144
it,XGBoost,BorderlineSMOTE,0.264,0.396,0.370,0.399,0.412,0.440
it,XGBoost,No Upsampling,0.281,0.406,0.359,0.399,0.425,0.465
it,XGBoost,Random Oversampling,0.308,0.456,0.401,0.431,0.452,0.465
it,XGBoost,SMOTE,0.241,0.418,0.364,0.429,0.413,0.488
it,XGBoost,SVMSMOTE,0.277,0.420,0.364,0.407,0.432,0.486
po,Dummy Classifier,No Upsampling,0.501,0.454,0.491,0.427,0.461,0.485
po,KNN,BorderlineSMOTE,0.525,0.361,0.366,0.335,0.327,0.297
po,KNN,No Upsampling,0.480,0.419,0.349,0.241,0.285,0.134
po,KNN,Random Oversampling,0.520,0.444,0.416,0.332,0.337,0.210
po,KNN,SMOTE,0.472,0.338,0.338,0.323,0.327,0.325
po,KNN,SVMSMOTE,0.534,0.428,0.452,0.342,0.328,0
po,LinearSVM,BorderlineSMOTE,0.531,0.454,0.503,0.465,0.545,0.550
po,LinearSVM,No Upsampling,0.531,0.454,0.503,0.465,0.545,0.550
po,LinearSVM,Random Oversampling,0.531,0.454,0.503,0.465,0.545,0.550
po,LinearSVM,SMOTE,0.531,0.454,0.503,0.465,0.545,0.550
po,LogisticRegression,BorderlineSMOTE,0.538,0.452,0.509,0.492,0.496,0.558
po,LogisticRegression,No Upsampling,0.530,0.471,0.506,0.470,0.535,0.551
po,LogisticRegression,Random Oversampling,0.528,0.461,0.509,0.466,0.519,0.579
po,LogisticRegression,SMOTE,0.538,0.454,0.509,0.486,0.524,0.540
po,LogisticRegression,SVMSMOTE,0.508,0.457,0.519,0.475,0.537,0.540
po,LogisticRegressionElasticNet,BorderlineSMOTE,0.493,0.444,0.481,0.477,0.555,0.578
po,LogisticRegressionElasticNet,No Upsampling,0.499,0.441,0.485,0.470,0.522,0.574
po,LogisticRegressionElasticNet,Random Oversampling,0.513,0.448,0.486,0.480,0.556,0.581
po,LogisticRegressionElasticNet,SMOTE,0.493,0.444,0.475,0.482,0.559,0.579
po,LogisticRegressionElasticNet,SVMSMOTE,0.502,0.470,0.473,0.477,0.531,0.573
po,LogisticRegressionLasso,BorderlineSMOTE,0.412,0.483,0.479,0.483,0.558,0.554
po,LogisticRegressionLasso,No Upsampling,0.410,0.470,0.468,0.464,0.532,0.545
po,LogisticRegressionLasso,Random Oversampling,0.410,0.484,0.482,0.477,0.549,0.545
po,LogisticRegressionLasso,SMOTE,0.412,0.484,0.476,0.509,0.554,0.558
po,LogisticRegressionLasso,SVMSMOTE,0.390,0.429,0.491,0.489,0.570,0.566
po,LogisticRegressionRidge,BorderlineSMOTE,0.546,0.478,0.539,0.498,0.573,0.561
po,LogisticRegressionRidge,No Upsampling,0.541,0.473,0.526,0.492,0.575,0.541
po,LogisticRegressionRidge,Random Oversampling,0.536,0.470,0.525,0.504,0.581,0.571
po,LogisticRegressionRidge,SMOTE,0.545,0.480,0.537,0.488,0.579,0.574
po,LogisticRegressionRidge,SVMSMOTE,0.515,0.472,0.519,0.493,0.554,0.577
po,NaiveBayes,BorderlineSMOTE,0.501,0.555,0.589,0.613,0.615,0.662
po,NaiveBayes,No Upsampling,0.511,0.505,0.525,0.521,0.512,0.467
po,NaiveBayes,Random Oversampling,0.526,0.557,0.581,0.603,0.603,**0.666**
po,NaiveBayes,SMOTE,0.517,0.546,0.581,0.615,0.597,0.663
po,RandomForest,BorderlineSMOTE,0.465,0.461,0.418,0.472,0.502,0.567
po,RandomForest,No Upsampling,0.472,0.461,0.434,0.413,0.446,0.475
po,RandomForest,Random Oversampling,0.516,0.492,0.480,0.477,0.555,0.609
po,RandomForest,SMOTE,0.475,0.440,0.439,0.437,0.515,0.531
po,RandomForest,SVMSMOTE,0.469,0.470,0.448,0.472,0.473,0.512
po,RidgeClassifier,BorderlineSMOTE,0.538,0.472,0.526,0.481,0.572,0.582
po,RidgeClassifier,No Upsampling,0.538,0.465,0.526,0.481,0.572,0.582
po,RidgeClassifier,Random Oversampling,0.538,0.472,0.526,0.481,0.572,0.582
po,RidgeClassifier,SMOTE,0.538,0.472,0.526,0.481,0.572,0.582
po,RidgeClassifier,SVMSMOTE,0.505,0.464,0.518,0.489,0.566,0.594
po,SVM,BorderlineSMOTE,0.433,0.315,0.342,0.373,0.364,0.380
po,SVM,No Upsampling,0.326,0.256,0.337,0.406,0.433,0.422
po,SVM,Random Oversampling,0.402,0.299,0.351,0.435,0.445,0.437
po,SVM,SMOTE,0.441,0.323,0.345,0.372,0.373,0.379
po,SVM,SVMSMOTE,0.489,0.305,0.344,0.352,0.380,0.362
po,XGBoost,BorderlineSMOTE,0.456,0.489,0.474,0.479,0.543,0.611
po,XGBoost,No Upsampling,0.450,0.461,0.489,0.505,0.546,0.624
po,XGBoost,Random Oversampling,0.480,0.490,0.472,0.489,0.542,0.582
po,XGBoost,SMOTE,0.459,0.489,0.484,0.462,0.548,0.615
po,XGBoost,SVMSMOTE,0.454,0.462,0.467,0.474,0.527,0.621
ru,Dummy Classifier,No Upsampling,0.296,0.272,0.284,0.291,0.321,0.265
ru,KNN,BorderlineSMOTE,0.349,0.348,0.335,0.344,0.349,0.302
ru,KNN,No Upsampling,0.193,0.140,0.070,0.036,0.123,0.121
ru,KNN,Random Oversampling,0.358,0.311,0.249,0.253,0.196,0.173
ru,KNN,SMOTE,0.356,0.368,0.349,0.349,0.349,0.349
ru,KNN,SVMSMOTE,0,0,0,0,0.349,0
ru,LinearSVM,BorderlineSMOTE,0.315,0.192,0.221,0.253,0.242,0.312
ru,LinearSVM,No Upsampling,0.309,0.192,0.221,0.253,0.242,0.312
ru,LinearSVM,Random Oversampling,0.316,0.192,0.221,0.253,0.242,0.312
ru,LinearSVM,SMOTE,0.321,0.192,0.221,0.253,0.242,0.312
ru,LogisticRegression,BorderlineSMOTE,0.300,0.192,0.273,0.253,0.236,0.327
ru,LogisticRegression,No Upsampling,0.309,0.212,0.271,0.261,0.239,0.305
ru,LogisticRegression,Random Oversampling,0.301,0.209,0.264,0.243,0.251,0.309
ru,LogisticRegression,SMOTE,0.302,0.201,0.279,0.243,0.240,0.312
ru,LogisticRegression,SVMSMOTE,0.303,0.264,0.234,0,0.295,0.297
ru,LogisticRegressionElasticNet,BorderlineSMOTE,0.290,0.180,0.205,0.256,0.278,0.340
ru,LogisticRegressionElasticNet,No Upsampling,0.279,0.158,0.195,0.235,0.267,0.285
ru,LogisticRegressionElasticNet,Random Oversampling,0.286,0.220,0.189,0.255,0.263,0.343
ru,LogisticRegressionElasticNet,SMOTE,0.290,0.191,0.205,0.230,0.276,0.340
ru,LogisticRegressionElasticNet,SVMSMOTE,0.308,0.205,0.221,0,0.251,0.334
ru,LogisticRegressionLasso,BorderlineSMOTE,0.294,0.223,0.211,0.373,0.347,0.373
ru,LogisticRegressionLasso,No Upsampling,0.294,0.213,0.178,0.377,0.344,0.337
ru,LogisticRegressionLasso,Random Oversampling,0.294,0.223,0.217,0.369,0.330,0.373
ru,LogisticRegressionLasso,SMOTE,0.283,0.240,0.189,0.380,0.323,0.382
ru,LogisticRegressionLasso,SVMSMOTE,0.299,0.235,0.221,0,0.269,0.388
ru,LogisticRegressionRidge,BorderlineSMOTE,0.312,0.362,0.321,0.311,0.289,0.317
ru,LogisticRegressionRidge,No Upsampling,0.317,0.281,0.332,0.292,0.235,0.298
ru,LogisticRegressionRidge,Random Oversampling,0.330,0.380,0.295,0.330,0.303,0.327
ru,LogisticRegressionRidge,SMOTE,0.334,0.358,0.303,0.334,0.289,0.324
ru,LogisticRegressionRidge,SVMSMOTE,0.335,0.291,0.297,0,0.313,0.318
ru,NaiveBayes,BorderlineSMOTE,0.391,0.415,0.439,0.416,0.421,0.498
ru,NaiveBayes,No Upsampling,0.352,0.351,0.360,0.303,0.303,0.253
ru,NaiveBayes,Random Oversampling,0.382,0.400,0.426,0.463,0.487,0.488
ru,NaiveBayes,SMOTE,0.389,0.435,0.426,0.451,0.459,**0.504**
ru,RandomForest,BorderlineSMOTE,0.194,0.186,0.155,0.197,0.184,0.283
ru,RandomForest,No Upsampling,0.158,0.164,0.159,0.173,0.184,0.240
ru,RandomForest,Random Oversampling,0.296,0.230,0.196,0.249,0.337,0.318
ru,RandomForest,SMOTE,0.191,0.166,0.208,0.208,0.224,0.290
ru,RandomForest,SVMSMOTE,0.152,0.184,0.165,0,0.219,0.284
ru,RidgeClassifier,BorderlineSMOTE,0.327,0.378,0.292,0.321,0.303,0.327
ru,RidgeClassifier,No Upsampling,0.328,0.378,0.292,0.321,0.303,0.327
ru,RidgeClassifier,Random Oversampling,0.327,0.378,0.292,0.321,0.303,0.327
ru,RidgeClassifier,SMOTE,0.327,0.378,0.292,0.321,0.303,0.327
ru,RidgeClassifier,SVMSMOTE,0.317,0.312,0.301,0,0.313,0.323
ru,SVM,BorderlineSMOTE,0.097,0.000,0.000,0.000,0.021,0.000
ru,SVM,No Upsampling,0.038,0.000,0.000,0.021,0.014,0.029
ru,SVM,Random Oversampling,0.151,0.000,0.022,0.027,0.048,0.031
ru,SVM,SMOTE,0.098,0.000,0.000,0.000,0.021,0.000
ru,SVM,SVMSMOTE,0.181,0.022,0.000,0,0.021,0.000
ru,XGBoost,BorderlineSMOTE,0.184,0.142,0.222,0.286,0.312,0.383
ru,XGBoost,No Upsampling,0.226,0.246,0.225,0.312,0.303,0.354
ru,XGBoost,Random Oversampling,0.245,0.229,0.249,0.332,0.366,0.429
ru,XGBoost,SMOTE,0.204,0.148,0.223,0.294,0.319,0.382
ru,XGBoost,SVMSMOTE,0.214,0.186,0.208,0,0.320,0.380
