model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
LogisticRegressionElasticNet,No Upsampling,0.47 $\pm$ 0.03,0.49 $\pm$ 0.01,0.48 $\pm$ 0.02,0.50 $\pm$ 0.01,0.54 $\pm$ 0.02,0.57 $\pm$ 0.01
LogisticRegressionElasticNet,Random Oversampling,0.48 $\pm$ 0.04,0.51 $\pm$ 0.02,0.50 $\pm$ 0.02,0.52 $\pm$ 0.01,0.57 $\pm$ 0.02,0.61 $\pm$ 0.02
LogisticRegressionElasticNet,SMOTE,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.50 $\pm$ 0.02,0.52 $\pm$ 0.01,0.56 $\pm$ 0.01,0.61 $\pm$ 0.02
LogisticRegressionElasticNet,SVMSMOTE,0.48 $\pm$ 0.03,0.51 $\pm$ 0.02,0.52 $\pm$ 0.03,0.51 $\pm$ 0.01,0.57 $\pm$ 0.01,0.60 $\pm$ 0.02
LogisticRegressionLasso,BorderlineSMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.01,0.53 $\pm$ 0.01,0.57 $\pm$ 0.02
LogisticRegressionLasso,No Upsampling,0.42 $\pm$ 0.03,0.47 $\pm$ 0.02,0.47 $\pm$ 0.01,0.50 $\pm$ 0.01,0.52 $\pm$ 0.02,0.55 $\pm$ 0.01
LogisticRegressionLasso,Random Oversampling,0.42 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.02,0.51 $\pm$ 0.01,0.54 $\pm$ 0.02,0.57 $\pm$ 0.02
LogisticRegressionLasso,SMOTE,0.42 $\pm$ 0.03,0.48 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.00,0.53 $\pm$ 0.01,0.57 $\pm$ 0.02
LogisticRegressionLasso,SVMSMOTE,0.40 $\pm$ 0.04,0.48 $\pm$ 0.03,0.47 $\pm$ 0.02,0.50 $\pm$ 0.01,0.52 $\pm$ 0.01,0.57 $\pm$ 0.03
LogisticRegressionRidge,BorderlineSMOTE,0.46 $\pm$ 0.03,0.47 $\pm$ 0.04,0.49 $\pm$ 0.02,0.49 $\pm$ 0.01,0.55 $\pm$ 0.03,0.59 $\pm$ 0.03
LogisticRegressionRidge,No Upsampling,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.48 $\pm$ 0.02,0.47 $\pm$ 0.02,0.54 $\pm$ 0.02,0.59 $\pm$ 0.02
LogisticRegressionRidge,RakelD Partitioning of labels,0.44 $\pm$ 0.02,0.46 $\pm$ 0.03,0.45 $\pm$ 0.01,0.46 $\pm$ 0.02,0.51 $\pm$ 0.03,0.54 $\pm$ 0.01
LogisticRegressionRidge,Random Oversampling,0.46 $\pm$ 0.03,0.48 $\pm$ 0.04,0.49 $\pm$ 0.03,0.49 $\pm$ 0.02,0.56 $\pm$ 0.03,0.60 $\pm$ 0.02
LogisticRegressionRidge,SMOTE,0.45 $\pm$ 0.03,0.47 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.59 $\pm$ 0.02
LogisticRegressionRidge,SVMSMOTE,0.48 $\pm$ 0.03,0.48 $\pm$ 0.03,0.48 $\pm$ 0.02,0.48 $\pm$ 0.01,0.53 $\pm$ 0.03,0.57 $\pm$ 0.02
Multi-label ARAM,Natively Multilabel,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00
Multilabel k Nearest Neighbours,Natively Multilabel,0.43 $\pm$ 0.03,0.43 $\pm$ 0.03,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.43 $\pm$ 0.02,0.39 $\pm$ 0.08
NaiveBayes,BorderlineSMOTE,0.51 $\pm$ 0.03,0.57 $\pm$ 0.02,0.59 $\pm$ 0.00,0.62 $\pm$ 0.02,0.63 $\pm$ 0.02,**0.66 $\pm$ 0.02**
NaiveBayes,No Upsampling,0.50 $\pm$ 0.02,0.56 $\pm$ 0.02,0.58 $\pm$ 0.02,0.58 $\pm$ 0.02,0.57 $\pm$ 0.01,0.51 $\pm$ 0.01
NaiveBayes,Random Oversampling,0.51 $\pm$ 0.01,0.56 $\pm$ 0.01,0.59 $\pm$ 0.01,0.63 $\pm$ 0.02,0.63 $\pm$ 0.02,**0.66 $\pm$ 0.02**
NaiveBayes,SMOTE,0.51 $\pm$ 0.03,0.56 $\pm$ 0.01,0.58 $\pm$ 0.01,0.62 $\pm$ 0.02,0.63 $\pm$ 0.03,0.65 $\pm$ 0.02
RandomForest,BorderlineSMOTE,0.42 $\pm$ 0.02,0.43 $\pm$ 0.02,0.43 $\pm$ 0.00,0.44 $\pm$ 0.01,0.48 $\pm$ 0.05,0.54 $\pm$ 0.02
RandomForest,No Upsampling,0.40 $\pm$ 0.03,0.41 $\pm$ 0.02,0.41 $\pm$ 0.01,0.43 $\pm$ 0.01,0.42 $\pm$ 0.02,0.47 $\pm$ 0.01
RandomForest,Random Oversampling,0.44 $\pm$ 0.03,0.45 $\pm$ 0.03,0.45 $\pm$ 0.01,0.47 $\pm$ 0.01,0.48 $\pm$ 0.03,0.54 $\pm$ 0.03
RandomForest,SMOTE,0.42 $\pm$ 0.02,0.41 $\pm$ 0.02,0.43 $\pm$ 0.02,0.44 $\pm$ 0.02,0.48 $\pm$ 0.04,0.54 $\pm$ 0.03
RandomForest,SVMSMOTE,0.42 $\pm$ 0.02,0.43 $\pm$ 0.03,0.43 $\pm$ 0.02,0.45 $\pm$ 0.02,0.46 $\pm$ 0.06,0.53 $\pm$ 0.03
RidgeClassifier,BorderlineSMOTE,0.46 $\pm$ 0.03,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.60 $\pm$ 0.03
RidgeClassifier,No Upsampling,0.46 $\pm$ 0.03,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.60 $\pm$ 0.03
RidgeClassifier,Random Oversampling,0.46 $\pm$ 0.03,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.60 $\pm$ 0.03
RidgeClassifier,SMOTE,0.46 $\pm$ 0.03,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.60 $\pm$ 0.03
RidgeClassifier,SVMSMOTE,0.48 $\pm$ 0.03,0.49 $\pm$ 0.03,0.47 $\pm$ 0.02,0.48 $\pm$ 0.02,0.54 $\pm$ 0.02,0.57 $\pm$ 0.03
SVM,BorderlineSMOTE,0.45 $\pm$ 0.00,0.33 $\pm$ 0.02,0.33 $\pm$ 0.03,0.32 $\pm$ 0.03,0.32 $\pm$ 0.02,0.31 $\pm$ 0.02
SVM,No Upsampling,0.35 $\pm$ 0.01,0.33 $\pm$ 0.03,0.33 $\pm$ 0.04,0.34 $\pm$ 0.02,0.39 $\pm$ 0.04,0.40 $\pm$ 0.05
SVM,RakelD Partitioning of labels,0.29 $\pm$ 0.02,0.31 $\pm$ 0.02,0.28 $\pm$ 0.07,0.26 $\pm$ 0.09,0.32 $\pm$ 0.01,0.33 $\pm$ 0.06
SVM,Random Oversampling,0.41 $\pm$ 0.01,0.34 $\pm$ 0.02,0.35 $\pm$ 0.02,0.36 $\pm$ 0.02,0.43 $\pm$ 0.04,0.45 $\pm$ 0.07
SVM,SMOTE,0.44 $\pm$ 0.00,0.33 $\pm$ 0.02,0.33 $\pm$ 0.03,0.32 $\pm$ 0.03,0.31 $\pm$ 0.01,0.30 $\pm$ 0.02
SVM,SVMSMOTE,0.46 $\pm$ 0.03,0.35 $\pm$ 0.03,0.33 $\pm$ 0.03,0.31 $\pm$ 0.02,0.30 $\pm$ 0.02,0.30 $\pm$ 0.02
XGBoost,BorderlineSMOTE,0.45 $\pm$ 0.01,0.48 $\pm$ 0.01,0.48 $\pm$ 0.02,0.50 $\pm$ 0.03,0.54 $\pm$ 0.02,0.58 $\pm$ 0.02
XGBoost,No Upsampling,0.41 $\pm$ 0.01,0.48 $\pm$ 0.01,0.47 $\pm$ 0.02,0.47 $\pm$ 0.03,0.52 $\pm$ 0.02,0.58 $\pm$ 0.02
XGBoost,Random Oversampling,0.44 $\pm$ 0.00,0.48 $\pm$ 0.02,0.47 $\pm$ 0.02,0.49 $\pm$ 0.03,0.54 $\pm$ 0.03,0.58 $\pm$ 0.02
XGBoost,SMOTE,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02,0.47 $\pm$ 0.03,0.49 $\pm$ 0.03,0.53 $\pm$ 0.02,0.58 $\pm$ 0.03
XGBoost,SVMSMOTE,0.44 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.53 $\pm$ 0.03,0.58 $\pm$ 0.02
