model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
NaiveBayes,No Upsampling,0.47 $\pm$ 0.03,0.47 $\pm$ 0.02,0.46 $\pm$ 0.02,0.42 $\pm$ 0.02,0.43 $\pm$ 0.02,0.39 $\pm$ 0.01
NaiveBayes,Random Oversampling,0.45 $\pm$ 0.02,0.50 $\pm$ 0.01,0.53 $\pm$ 0.02,0.55 $\pm$ 0.01,0.55 $\pm$ 0.01,**0.59 $\pm$ 0.00**
NaiveBayes,SMOTE,0.46 $\pm$ 0.02,0.49 $\pm$ 0.01,0.52 $\pm$ 0.02,0.54 $\pm$ 0.01,0.53 $\pm$ 0.01,0.58 $\pm$ 0.00
RandomForest,BorderlineSMOTE,0.26 $\pm$ 0.03,0.28 $\pm$ 0.03,0.29 $\pm$ 0.03,0.33 $\pm$ 0.03,0.32 $\pm$ 0.03,0.39 $\pm$ 0.02
RandomForest,No Upsampling,0.23 $\pm$ 0.02,0.22 $\pm$ 0.01,0.24 $\pm$ 0.02,0.29 $\pm$ 0.03,0.27 $\pm$ 0.03,0.36 $\pm$ 0.03
RandomForest,Random Oversampling,0.29 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.02,0.37 $\pm$ 0.01,0.34 $\pm$ 0.01,0.42 $\pm$ 0.02
RandomForest,SMOTE,0.26 $\pm$ 0.02,0.28 $\pm$ 0.01,0.27 $\pm$ 0.03,0.33 $\pm$ 0.02,0.33 $\pm$ 0.03,0.40 $\pm$ 0.03
RandomForest,SVMSMOTE,0.27 $\pm$ 0.03,0.26 $\pm$ 0.00,0.27 $\pm$ 0.02,0.32 $\pm$ 0.03,0.31 $\pm$ 0.04,0.40 $\pm$ 0.02
RidgeClassifier,BorderlineSMOTE,0.37 $\pm$ 0.01,0.38 $\pm$ 0.02,0.36 $\pm$ 0.01,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01
RidgeClassifier,No Upsampling,0.37 $\pm$ 0.01,0.38 $\pm$ 0.02,0.36 $\pm$ 0.01,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01
RidgeClassifier,Random Oversampling,0.37 $\pm$ 0.01,0.38 $\pm$ 0.02,0.36 $\pm$ 0.01,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01
RidgeClassifier,SMOTE,0.37 $\pm$ 0.01,0.38 $\pm$ 0.02,0.36 $\pm$ 0.01,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01
RidgeClassifier,SVMSMOTE,0.39 $\pm$ 0.01,0.38 $\pm$ 0.02,0.37 $\pm$ 0.02,0.37 $\pm$ 0.02,0.39 $\pm$ 0.01,0.43 $\pm$ 0.02
SVM,BorderlineSMOTE,0.22 $\pm$ 0.02,0.08 $\pm$ 0.02,0.06 $\pm$ 0.03,0.05 $\pm$ 0.01,0.11 $\pm$ 0.02,0.12 $\pm$ 0.04
SVM,No Upsampling,0.09 $\pm$ 0.02,0.04 $\pm$ 0.02,0.06 $\pm$ 0.01,0.10 $\pm$ 0.03,0.17 $\pm$ 0.03,0.26 $\pm$ 0.03
SVM,RakelD Partitioning of labels,0.07 $\pm$ 0.03,0.04 $\pm$ 0.03,0.10 $\pm$ 0.04,0.06 $\pm$ 0.07,0.17 $\pm$ 0.04,0.15 $\pm$ 0.05
SVM,Random Oversampling,0.19 $\pm$ 0.03,0.08 $\pm$ 0.02,0.10 $\pm$ 0.01,0.14 $\pm$ 0.05,0.23 $\pm$ 0.01,0.29 $\pm$ 0.01
SVM,SMOTE,0.23 $\pm$ 0.03,0.08 $\pm$ 0.02,0.05 $\pm$ 0.02,0.05 $\pm$ 0.01,0.08 $\pm$ 0.01,0.13 $\pm$ 0.02
SVM,SVMSMOTE,0.34 $\pm$ 0.03,0.11 $\pm$ 0.02,0.07 $\pm$ 0.03,0.05 $\pm$ 0.02,0.06 $\pm$ 0.03,0.09 $\pm$ 0.05
XGBoost,BorderlineSMOTE,0.35 $\pm$ 0.01,0.37 $\pm$ 0.02,0.38 $\pm$ 0.03,0.38 $\pm$ 0.02,0.40 $\pm$ 0.01,0.45 $\pm$ 0.01
XGBoost,No Upsampling,0.32 $\pm$ 0.01,0.34 $\pm$ 0.02,0.36 $\pm$ 0.03,0.37 $\pm$ 0.02,0.37 $\pm$ 0.01,0.43 $\pm$ 0.01
XGBoost,Random Oversampling,0.35 $\pm$ 0.02,0.36 $\pm$ 0.01,0.38 $\pm$ 0.02,0.40 $\pm$ 0.01,0.39 $\pm$ 0.01,0.45 $\pm$ 0.01
XGBoost,SMOTE,0.34 $\pm$ 0.02,0.36 $\pm$ 0.01,0.38 $\pm$ 0.03,0.39 $\pm$ 0.02,0.41 $\pm$ 0.02,0.45 $\pm$ 0.01
XGBoost,SVMSMOTE,0.34 $\pm$ 0.02,0.36 $\pm$ 0.01,0.37 $\pm$ 0.02,0.39 $\pm$ 0.01,0.39 $\pm$ 0.01,0.44 $\pm$ 0.01
