language,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
it,bert-base-multilingual-cased,0.47 $\pm$ nan,0.54 $\pm$ nan,0.56 $\pm$ nan,0.57 $\pm$ nan,0.56 $\pm$ nan,0.57 $\pm$ nan
it,distilbert-base-multilingual-cased,0.45 $\pm$ nan,0.50 $\pm$ nan,0.52 $\pm$ nan,0.55 $\pm$ nan,0.50 $\pm$ nan,0.55 $\pm$ nan
it,facebook-mbart-large-50,0.48 $\pm$ nan,0.54 $\pm$ nan,0.56 $\pm$ nan,0.59 $\pm$ nan,0.60 $\pm$ nan,**0.64 $\pm$ nan**
it,gpt2,0.40 $\pm$ nan,0.44 $\pm$ nan,0.48 $\pm$ nan,0.51 $\pm$ nan,0.53 $\pm$ nan,0.55 $\pm$ nan
it,xlm-roberta-large,0.50 $\pm$ nan,0.55 $\pm$ nan,0.56 $\pm$ nan,0.60 $\pm$ nan,0.57 $\pm$ nan,0.61 $\pm$ nan
po,EleutherAI-gpt-neo-1.3B,0.53 $\pm$ nan,0.56 $\pm$ nan,0.62 $\pm$ nan,0.62 $\pm$ nan,0.64 $\pm$ nan,0
po,EleutherAI-gpt-neo-125M,0.35 $\pm$ nan,0.48 $\pm$ nan,0.56 $\pm$ nan,0.57 $\pm$ nan,0.57 $\pm$ nan,0.60 $\pm$ nan
po,bert-base-multilingual-cased,0.55 $\pm$ nan,0.61 $\pm$ nan,0.62 $\pm$ nan,0.66 $\pm$ nan,0.66 $\pm$ nan,0.65 $\pm$ nan
po,distilbert-base-multilingual-cased,0.54 $\pm$ nan,0.61 $\pm$ nan,0.62 $\pm$ nan,0.62 $\pm$ nan,0.61 $\pm$ nan,0.61 $\pm$ nan
po,facebook-mbart-large-50,0.59 $\pm$ nan,0.62 $\pm$ nan,0.64 $\pm$ nan,0.68 $\pm$ nan,0.67 $\pm$ nan,0.68 $\pm$ nan
po,gpt2,0.50 $\pm$ nan,0.59 $\pm$ nan,0.58 $\pm$ nan,0.60 $\pm$ nan,0.57 $\pm$ nan,0.63 $\pm$ nan
po,xlm-roberta-large,0.57 $\pm$ nan,0.64 $\pm$ nan,0.65 $\pm$ nan,0.68 $\pm$ nan,0.67 $\pm$ nan,**0.69 $\pm$ nan**
ru,EleutherAI-gpt-neo-1.3B,0.22 $\pm$ nan,0.28 $\pm$ nan,0.38 $\pm$ nan,0.33 $\pm$ nan,0.37 $\pm$ nan,0
ru,EleutherAI-gpt-neo-125M,0.24 $\pm$ nan,0.20 $\pm$ nan,0.20 $\pm$ nan,0.22 $\pm$ nan,0.16 $\pm$ nan,0.20 $\pm$ nan
ru,bert-base-multilingual-cased,0.37 $\pm$ nan,0.52 $\pm$ nan,0.56 $\pm$ nan,**0.57 $\pm$ nan**,0.54 $\pm$ nan,0.48 $\pm$ nan
ru,distilbert-base-multilingual-cased,0.31 $\pm$ nan,0.43 $\pm$ nan,0.48 $\pm$ nan,0.51 $\pm$ nan,0.45 $\pm$ nan,0.45 $\pm$ nan
ru,facebook-mbart-large-50,0.35 $\pm$ nan,0.52 $\pm$ nan,0.55 $\pm$ nan,**0.57 $\pm$ nan**,0.52 $\pm$ nan,0.53 $\pm$ nan
ru,gpt2,0.18 $\pm$ nan,0.10 $\pm$ nan,0.12 $\pm$ nan,0.22 $\pm$ nan,0.18 $\pm$ nan,0.16 $\pm$ nan
ru,xlm-roberta-large,0.39 $\pm$ nan,**0.57 $\pm$ nan**,0.54 $\pm$ nan,0.55 $\pm$ nan,0.55 $\pm$ nan,0.54 $\pm$ nan
