language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,LogisticRegressionRidge,SVMSMOTE,0.604,0.636,0.673,0.665,0.650,0.685
en,NaiveBayes,BorderlineSMOTE,0,0,0.669,0.665,0.661,0.690
en,NaiveBayes,No Upsampling,0,0,0.669,0.665,0.663,0.690
en,NaiveBayes,Random Oversampling,0,0,0.687,0.677,0.685,0.697
en,NaiveBayes,SMOTE,0,0,0.692,0.693,0.687,**0.705**
en,NaiveBayes,SVMSMOTE,0,0,0.669,0.665,0.663,0.684
en,RandomForest,BorderlineSMOTE,0,0,0.617,0.624,0.623,0.693
en,RandomForest,No Upsampling,0,0,0.640,0.650,0.643,0.695
en,RandomForest,Random Oversampling,0,0,0.580,0.643,0.646,0.660
en,RandomForest,SMOTE,0,0,0.613,0.629,0.616,0.646
en,RandomForest,SVMSMOTE,0,0,0.612,0.641,0.623,0.679
en,RidgeClassifier,BorderlineSMOTE,0,0.629,0.667,0.675,0.652,0.670
en,RidgeClassifier,No Upsampling,0,0.631,0.671,0.690,0.653,0.675
en,RidgeClassifier,Random Oversampling,0,0.638,0.629,0.679,0.648,0.675
en,RidgeClassifier,SMOTE,0,0.608,0.672,0.674,0.647,0.674
en,RidgeClassifier,SVMSMOTE,0,0.618,0.639,0.681,0.653,0.675
en,SVM,BorderlineSMOTE,0,0.661,0.679,0.672,0.672,0.684
en,SVM,No Upsampling,0,0.680,0.679,0.658,0.669,0.660
en,SVM,Random Oversampling,0,0.654,0.684,0.669,0.666,0.696
en,SVM,SMOTE,0,0.662,0.689,0.689,0.676,0.686
en,SVM,SVMSMOTE,0,0.659,0.670,0.675,0.679,0.666
en,XGBoost,BorderlineSMOTE,0,0,0.657,0.647,0.652,0.671
en,XGBoost,No Upsampling,0,0.636,0.647,0.652,0.658,0.664
en,XGBoost,Random Oversampling,0,0.650,0.653,0.656,0.656,0.684
en,XGBoost,SMOTE,0,0.631,0.657,0.651,0.660,0.681
en,XGBoost,SVMSMOTE,0,0,0.650,0.661,0.652,0.670
fr,KNN,BorderlineSMOTE,0.206,0.176,0.148,0.396,0.250,0.262
fr,KNN,No Upsampling,0.278,0.223,0.217,0.415,0.208,0.401
fr,KNN,Random Oversampling,0.233,0.223,0.148,0.359,0.299,0.435
fr,KNN,SMOTE,0.235,0.176,0.148,0.406,0.208,0.437
fr,KNN,SVMSMOTE,0.232,0.344,0.148,0.218,0.344,0.401
fr,LinearSVM,BorderlineSMOTE,0.270,0.408,0.346,0.325,0.366,0.389
fr,LinearSVM,No Upsampling,0.269,0.400,0.360,0.298,0.352,0.388
fr,LinearSVM,Random Oversampling,0.264,0.405,0.343,0.298,0.354,0.376
fr,LinearSVM,SMOTE,0.268,0.394,0.329,0.321,0.355,0.322
fr,LogisticRegression,BorderlineSMOTE,0.275,0.428,0.362,0.356,0.354,0.402
fr,LogisticRegression,No Upsampling,0.264,0.357,0.331,0.256,0.295,0.309
fr,LogisticRegression,Random Oversampling,0.264,0.362,0.331,0.258,0.323,0.341
fr,LogisticRegression,SMOTE,0.255,0.346,0.331,0.251,0.338,0.333
fr,LogisticRegression,SVMSMOTE,0.295,0.359,0.316,0.258,0.328,0.329
fr,LogisticRegressionElasticNet,BorderlineSMOTE,0.255,0.436,0.334,0.314,0.360,0.398
fr,LogisticRegressionElasticNet,No Upsampling,0.222,0.385,0.346,0.280,0.351,0.334
fr,LogisticRegressionElasticNet,Random Oversampling,0.232,0.376,0.353,0.289,0.364,0.352
fr,LogisticRegressionElasticNet,SMOTE,0.231,0.373,0.336,0.257,0.356,0.354
fr,LogisticRegressionElasticNet,SVMSMOTE,0.280,0.383,0.364,0.260,0.401,0.338
fr,LogisticRegressionLasso,BorderlineSMOTE,0.250,0.409,0.279,0.348,0.389,0.382
fr,LogisticRegressionLasso,No Upsampling,0.273,0.423,0.374,0.299,0.346,0.345
fr,LogisticRegressionLasso,Random Oversampling,0.279,0.417,0.365,0.329,0.364,0.317
fr,LogisticRegressionLasso,SMOTE,0.246,0.372,0.351,0.369,0.350,0.374
fr,LogisticRegressionLasso,SVMSMOTE,0.266,0.416,0.327,0.329,0.356,0.381
fr,LogisticRegressionRidge,BorderlineSMOTE,0.299,0.405,0.347,0.311,0.365,0.349
fr,LogisticRegressionRidge,No Upsampling,0.316,0.412,0.377,0.311,0.355,0.366
fr,LogisticRegressionRidge,Random Oversampling,0.306,0.416,0.396,0.303,0.358,0.371
fr,LogisticRegressionRidge,SMOTE,0.277,0.424,0.337,0.324,0.334,0.360
fr,LogisticRegressionRidge,SVMSMOTE,0.251,0.306,0.396,0.281,0.315,**0.452**
fr,NaiveBayes,BorderlineSMOTE,0.358,0.370,0.391,0.365,0.428,0.400
fr,NaiveBayes,No Upsampling,0.325,0.388,0.348,0.311,0.275,0.364
fr,NaiveBayes,Random Oversampling,0.349,0.373,0.345,0.316,0.374,0.368
fr,NaiveBayes,SMOTE,0.332,0.358,0.335,0.341,0.431,0.374
fr,NaiveBayes,SVMSMOTE,0.325,0.354,0.348,0.315,0.340,0.310
fr,RandomForest,BorderlineSMOTE,0.275,0.225,0.272,0.263,0.260,0.426
fr,RandomForest,No Upsampling,0.306,0.395,0.361,0.365,0.394,0.437
fr,RandomForest,Random Oversampling,0.278,0.316,0.261,0.333,0.354,0.347
fr,RandomForest,SMOTE,0.268,0.192,0.200,0.212,0.378,0.283
fr,RandomForest,SVMSMOTE,0.250,0.217,0.260,0.249,0.243,0.329
fr,RidgeClassifier,BorderlineSMOTE,0.295,0.395,0.325,0.288,0.319,0.317
fr,RidgeClassifier,No Upsampling,0.332,0.412,0.309,0.267,0.312,0.277
fr,RidgeClassifier,Random Oversampling,0.330,0.355,0.350,0.272,0.312,0.257
fr,RidgeClassifier,SMOTE,0.271,0.323,0.317,0.267,0.266,0.268
fr,RidgeClassifier,SVMSMOTE,0.318,0.392,0.313,0.238,0.318,0.313
fr,SVM,BorderlineSMOTE,0.346,0.392,0.374,0.353,0.355,0.375
fr,SVM,No Upsampling,0.347,0.398,0.324,0.346,0.365,0.346
fr,SVM,Random Oversampling,0.349,0.397,0.337,0.317,0.326,0.356
fr,SVM,SMOTE,0.371,0.357,0.321,0.340,0.351,0.350
fr,SVM,SVMSMOTE,0.350,0.398,0.310,0.347,0.352,0.381
fr,XGBoost,BorderlineSMOTE,0.344,0.367,0.345,0.375,0.345,0.422
fr,XGBoost,No Upsampling,0.346,0.371,0.374,0.307,0.368,0.413
fr,XGBoost,Random Oversampling,0.304,0.340,0.361,0.308,0.335,0.406
fr,XGBoost,SMOTE,0.327,0.357,0.368,0.284,0.364,0.448
fr,XGBoost,SVMSMOTE,0.328,0.364,0.371,0.339,0.373,0.444
ge,KNN,BorderlineSMOTE,0.063,0.347,0.369,0.379,0.406,0.449
ge,KNN,No Upsampling,0.099,0.078,0.388,0.332,0.144,0.448
ge,KNN,Random Oversampling,0.114,0.361,0.388,0.379,0.400,0.449
ge,KNN,SMOTE,0.156,0.081,0.370,0.332,0.417,0.417
ge,KNN,SVMSMOTE,0,0.347,0.378,0.332,0.406,0.445
ge,LinearSVM,BorderlineSMOTE,0.364,0.458,0.453,0.462,0.429,0.452
ge,LinearSVM,No Upsampling,0.364,0.424,0.424,0.454,0.433,0.444
ge,LinearSVM,Random Oversampling,0.351,0.406,0.433,0.454,0.424,0.447
ge,LinearSVM,SMOTE,0.364,0.425,0.480,0.454,0.421,0.447
ge,LogisticRegression,BorderlineSMOTE,0.347,0.465,0.443,0.489,0.439,0.518
ge,LogisticRegression,No Upsampling,0.343,0.436,0.416,0.468,0.391,0.462
ge,LogisticRegression,Random Oversampling,0.340,0.436,0.430,0.461,0.417,0.467
ge,LogisticRegression,SMOTE,0.336,0.427,0.407,0.462,0.411,0.474
ge,LogisticRegression,SVMSMOTE,0.334,0.420,0.412,0.458,0.430,0.472
ge,LogisticRegressionElasticNet,BorderlineSMOTE,0.335,0.466,0.435,0.474,0.447,0.531
ge,LogisticRegressionElasticNet,Random Oversampling,0.339,0.455,0.455,0.472,0.434,0.534
ge,LogisticRegressionElasticNet,SMOTE,0.339,0.469,0.455,0.466,0.427,0.529
ge,LogisticRegressionElasticNet,SVMSMOTE,0.326,0.425,0.424,0.388,0.437,0.470
ge,LogisticRegressionLasso,BorderlineSMOTE,0.308,0.465,0.441,0.463,0.458,0.520
ge,LogisticRegressionLasso,No Upsampling,0.294,0.436,0.421,0.443,0.457,0.536
ge,LogisticRegressionLasso,Random Oversampling,0.348,0.454,0.419,0.454,0.432,0.542
ge,LogisticRegressionLasso,SMOTE,0.336,0.462,0.449,0.436,0.444,0.523
ge,LogisticRegressionLasso,SVMSMOTE,0.311,0.467,0.436,0.419,0.451,0.501
ge,LogisticRegressionRidge,BorderlineSMOTE,0.346,0.514,0.445,0.476,0.457,0.496
ge,LogisticRegressionRidge,No Upsampling,0.363,0.427,0.426,0.483,0.448,0.470
ge,LogisticRegressionRidge,Random Oversampling,0.360,0.439,0.429,0.479,0.447,0.467
ge,LogisticRegressionRidge,SMOTE,0.340,0.404,0.430,0.477,0.428,0.523
ge,LogisticRegressionRidge,SVMSMOTE,0.353,0.426,0.395,0.410,0.449,0.469
ge,NaiveBayes,BorderlineSMOTE,0.335,0.478,0.434,0.469,0.529,0.465
ge,NaiveBayes,No Upsampling,0.333,0.481,0.477,0.469,0.456,0.485
ge,NaiveBayes,Random Oversampling,0.333,0.481,0.480,0.469,0.451,0.488
ge,NaiveBayes,SMOTE,0.337,0.441,0.442,0.484,0.522,0.485
ge,NaiveBayes,SVMSMOTE,0.335,0.494,0.485,0.469,0.453,0.485
ge,RandomForest,BorderlineSMOTE,0.290,0.327,0.435,0.453,0.399,0.486
ge,RandomForest,No Upsampling,0.389,0.522,0.527,0.511,0.499,0.541
ge,RandomForest,Random Oversampling,0.141,0.365,0.299,0.454,0.350,0.506
ge,RandomForest,SMOTE,0.226,0.378,0.400,0.416,0.409,0.432
ge,RandomForest,SVMSMOTE,0.272,0.368,0.369,0.447,0.402,0.465
ge,RidgeClassifier,BorderlineSMOTE,0.342,0.457,0.411,0.449,0.467,0.477
ge,RidgeClassifier,No Upsampling,0.339,0.460,0.412,0.438,0.448,0.462
ge,RidgeClassifier,Random Oversampling,0.353,0.449,0.407,0.446,0.485,0.450
ge,RidgeClassifier,SMOTE,0.331,0.459,0.377,0.447,0.424,0.462
ge,RidgeClassifier,SVMSMOTE,0.329,0.378,0.427,0.364,0.413,0.456
ge,SVM,BorderlineSMOTE,0.351,0.500,0.465,0.501,0.528,0.526
ge,SVM,No Upsampling,0.351,0.486,0.459,0.444,0.532,0.503
ge,SVM,Random Oversampling,0.387,0.451,0.396,0.426,0.467,0.499
ge,SVM,SMOTE,0.347,0.468,0.447,0.412,0.486,0.470
ge,SVM,SVMSMOTE,0.397,0.491,0.459,0.456,0.508,0.501
ge,XGBoost,BorderlineSMOTE,0.416,0.535,0.483,0.484,0.471,0.541
ge,XGBoost,No Upsampling,0.413,0.536,0.463,0.448,0.484,0.521
ge,XGBoost,Random Oversampling,0.408,0.550,0.501,0.491,0.493,0.514
ge,XGBoost,SMOTE,0.475,0.534,0.490,0.509,0.487,0.552
ge,XGBoost,SVMSMOTE,0.471,0.523,0.491,0.483,0.501,**0.567**
it,KNN,BorderlineSMOTE,0.341,0.328,0.318,0.373,0.379,0.454
it,KNN,No Upsampling,0.388,0.328,0.318,0.350,0.321,0.432
it,KNN,Random Oversampling,0.252,0.110,0.123,0.549,0.347,0.429
it,KNN,SMOTE,0.116,0.287,0.123,0.410,0.337,0.470
it,KNN,SVMSMOTE,0.391,0.364,0.322,0.363,0.123,0.448
it,LinearSVM,BorderlineSMOTE,0.441,0.415,0.472,0.478,0.412,0.552
it,LinearSVM,No Upsampling,0.430,0.428,0.458,0.475,0.412,0.507
it,LinearSVM,Random Oversampling,0.425,0.424,0.446,0.486,0.408,0.502
it,LinearSVM,SMOTE,0.398,0.422,0.469,0.458,0.414,0.509
it,LogisticRegression,BorderlineSMOTE,0.433,0.444,0.442,0.498,0.488,0.558
it,LogisticRegression,No Upsampling,0.399,0.403,0.414,0.464,0.426,0.490
it,LogisticRegression,Random Oversampling,0.401,0.402,0.431,0.448,0.413,0.501
it,LogisticRegression,SMOTE,0.394,0.403,0.412,0.457,0.425,0.492
it,LogisticRegression,SVMSMOTE,0.444,0.437,0.413,0.429,0.419,0.494
it,LogisticRegressionElasticNet,BorderlineSMOTE,0.405,0.431,0.464,0.483,0.457,0.552
it,LogisticRegressionElasticNet,No Upsampling,0.384,0.402,0.437,0.469,0.475,0.505
it,LogisticRegressionElasticNet,Random Oversampling,0.416,0.388,0.437,0.461,0.474,0.494
it,LogisticRegressionElasticNet,SMOTE,0.268,0.396,0.425,0.467,0.456,0.473
it,LogisticRegressionElasticNet,SVMSMOTE,0.323,0.404,0.422,0.450,0.479,0.502
it,LogisticRegressionLasso,BorderlineSMOTE,0.339,0.460,0.468,0.471,0.477,0.481
it,LogisticRegressionLasso,No Upsampling,0.346,0.461,0.466,0.439,0.477,0.473
it,LogisticRegressionLasso,Random Oversampling,0.388,0.467,0.464,0.466,0.461,0.479
it,LogisticRegressionLasso,SMOTE,0.356,0.400,0.428,0.474,0.467,0.469
it,LogisticRegressionLasso,SVMSMOTE,0.365,0.464,0.462,0.449,0.488,0.507
it,LogisticRegressionRidge,BorderlineSMOTE,0.417,0.424,0.454,0.473,0.437,0.538
it,LogisticRegressionRidge,No Upsampling,0.429,0.432,0.472,0.470,0.439,0.503
it,LogisticRegressionRidge,Random Oversampling,0.422,0.401,0.449,0.487,0.432,0.502
it,LogisticRegressionRidge,SMOTE,0.412,0.413,0.441,0.498,0.444,0.503
it,LogisticRegressionRidge,SVMSMOTE,0.424,0.344,0.423,0.450,0.409,0.498
it,NaiveBayes,BorderlineSMOTE,0.512,0.457,0.474,0.475,0.470,0.438
it,NaiveBayes,No Upsampling,0.504,0.424,0.415,0.429,0.457,0.423
it,NaiveBayes,Random Oversampling,0.504,0.481,0.469,0.440,0.476,0.434
it,NaiveBayes,SMOTE,0.490,0.439,0.438,0.426,0.484,0.537
it,NaiveBayes,SVMSMOTE,0.504,0.408,0.422,0.429,0.421,0.424
it,RandomForest,BorderlineSMOTE,0.329,0.381,0.438,0.473,0.252,0.437
it,RandomForest,No Upsampling,0.441,0.497,0.501,0.519,0.516,**0.561**
it,RandomForest,Random Oversampling,0.135,0.395,0.281,0.427,0.211,0.423
it,RandomForest,SMOTE,0.308,0.337,0.394,0.432,0.345,0.422
it,RandomForest,SVMSMOTE,0.283,0.365,0.426,0.416,0.323,0.438
it,RidgeClassifier,BorderlineSMOTE,0.411,0.439,0.435,0.463,0.462,0.534
it,RidgeClassifier,No Upsampling,0.405,0.436,0.443,0.467,0.423,0.479
it,RidgeClassifier,Random Oversampling,0.401,0.432,0.422,0.449,0.422,0.489
it,RidgeClassifier,SMOTE,0.425,0.433,0.429,0.455,0.424,0.478
it,RidgeClassifier,SVMSMOTE,0.439,0.417,0.452,0.436,0.445,0.510
it,SVM,BorderlineSMOTE,0.485,0.413,0.494,0.522,0.514,0.533
it,SVM,No Upsampling,0.468,0.485,0.500,0.524,0.505,0.524
it,SVM,Random Oversampling,0.484,0.470,0.457,0.499,0.504,0.526
it,SVM,SMOTE,0.466,0.457,0.441,0.489,0.499,0.519
it,SVM,SVMSMOTE,0.447,0.454,0.464,0.466,0.501,0.509
it,XGBoost,BorderlineSMOTE,0.411,0.450,0.463,0.501,0.508,0.523
it,XGBoost,No Upsampling,0.402,0.468,0.480,0.501,0.504,0.529
it,XGBoost,Random Oversampling,0.401,0.467,0.469,0.485,0.481,0.518
it,XGBoost,SMOTE,0.378,0.430,0.456,0.486,0.492,0.508
it,XGBoost,SVMSMOTE,0.352,0.451,0.468,0.496,0.484,0.535
po,KNN,BorderlineSMOTE,0.419,0.362,0.413,0.268,0.066,0.462
po,KNN,No Upsampling,0.370,0.241,0.428,0.390,0.033,0.000
po,KNN,Random Oversampling,0.482,0.429,0.375,0.390,0.033,0.000
po,KNN,SMOTE,0.410,0.429,0.428,0.131,0.066,0.462
po,KNN,SVMSMOTE,0.370,0.305,0.375,0.165,0.066,0.066
po,LinearSVM,BorderlineSMOTE,0.539,0.477,0.536,0.557,0.572,0.598
po,LinearSVM,No Upsampling,0.545,0.476,0.537,0.526,0.562,0.601
po,LinearSVM,Random Oversampling,0.541,0.480,0.524,0.547,0.572,0.585
po,LinearSVM,SMOTE,0.544,0.472,0.520,0.545,0.560,0.575
po,LogisticRegression,BorderlineSMOTE,0.538,0.486,0.535,0.545,0.553,0.629
po,LogisticRegression,No Upsampling,0.540,0.474,0.512,0.504,0.499,0.588
po,LogisticRegression,Random Oversampling,0.527,0.472,0.508,0.512,0.524,0.576
po,LogisticRegression,SMOTE,0.538,0.478,0.522,0.517,0.507,0.588
po,LogisticRegression,SVMSMOTE,0.529,0.471,0.522,0.492,0.541,0.579
po,LogisticRegressionElasticNet,BorderlineSMOTE,0.513,0.499,0.554,0.533,0.566,0.623
po,LogisticRegressionElasticNet,No Upsampling,0.469,0.478,0.527,0.526,0.558,0.587
po,LogisticRegressionElasticNet,Random Oversampling,0.516,0.502,0.515,0.517,0.556,0.592
po,LogisticRegressionElasticNet,SMOTE,0.537,0.477,0.531,0.499,0.558,0.582
po,LogisticRegressionElasticNet,SVMSMOTE,0.543,0.483,0.528,0.520,0.556,0.580
po,LogisticRegressionLasso,BorderlineSMOTE,0.422,0.494,0.433,0.518,0.547,0.583
po,LogisticRegressionLasso,No Upsampling,0.410,0.488,0.494,0.530,0.538,**0.652**
po,LogisticRegressionLasso,Random Oversampling,0.410,0.417,0.489,0.509,0.545,0.583
po,LogisticRegressionLasso,SMOTE,0.415,0.397,0.500,0.523,0.532,0.587
po,LogisticRegressionLasso,SVMSMOTE,0.388,0.363,0.407,0.549,0.546,0.581
po,LogisticRegressionRidge,BorderlineSMOTE,0.543,0.506,0.554,0.542,0.590,0.606
po,LogisticRegressionRidge,No Upsampling,0.553,0.504,0.545,0.543,0.596,0.596
po,LogisticRegressionRidge,Random Oversampling,0.549,0.498,0.535,0.552,0.571,0.600
po,LogisticRegressionRidge,SMOTE,0.539,0.490,0.543,0.556,0.566,0.592
po,LogisticRegressionRidge,SVMSMOTE,0.526,0.483,0.526,0.512,0.552,0.595
po,NaiveBayes,BorderlineSMOTE,0.532,0.500,0.514,0.550,0.610,0.624
po,NaiveBayes,No Upsampling,0.512,0.503,0.515,0.544,0.571,0.609
po,NaiveBayes,Random Oversampling,0.512,0.505,0.525,0.552,0.591,0.606
po,NaiveBayes,SMOTE,0.537,0.481,0.526,0.522,0.585,0.598
po,NaiveBayes,SVMSMOTE,0.512,0.505,0.513,0.546,0.520,0.608
po,RandomForest,BorderlineSMOTE,0.325,0.458,0.426,0.420,0.515,0.606
po,RandomForest,No Upsampling,0.176,0.514,0.544,0.519,0.580,0.640
po,RandomForest,Random Oversampling,0.327,0.528,0.493,0.479,0.543,0.464
po,RandomForest,SMOTE,0.148,0.426,0.411,0.429,0.476,0.599
po,RandomForest,SVMSMOTE,0.379,0.468,0.431,0.425,0.478,0.558
po,RidgeClassifier,BorderlineSMOTE,0.542,0.474,0.502,0.514,0.574,0.590
po,RidgeClassifier,No Upsampling,0.536,0.479,0.500,0.531,0.592,0.565
po,RidgeClassifier,Random Oversampling,0.561,0.503,0.492,0.496,0.580,0.577
po,RidgeClassifier,SMOTE,0.533,0.475,0.498,0.497,0.577,0.570
po,RidgeClassifier,SVMSMOTE,0.386,0.471,0.509,0.510,0.566,0.576
po,SVM,BorderlineSMOTE,0.504,0.534,0.512,0.530,0.584,0.614
po,SVM,No Upsampling,0.521,0.525,0.522,0.539,0.566,0.589
po,SVM,Random Oversampling,0.514,0.491,0.525,0.501,0.590,0.570
po,SVM,SMOTE,0.550,0.509,0.487,0.503,0.527,0.594
po,SVM,SVMSMOTE,0.528,0.541,0.527,0.534,0.599,0.592
po,XGBoost,BorderlineSMOTE,0.568,0.543,0.564,0.542,0.579,0.646
po,XGBoost,No Upsampling,0.543,0.563,0.533,0.550,0.574,0.649
po,XGBoost,Random Oversampling,0.561,0.536,0.529,0.563,0.553,0.634
po,XGBoost,SMOTE,0.570,0.534,0.564,0.529,0.590,0.609
po,XGBoost,SVMSMOTE,0.563,0.544,0.519,0.530,0.582,0.641
ru,KNN,BorderlineSMOTE,0.269,0.018,0.270,0.300,0.299,0.204
ru,KNN,No Upsampling,0.082,0.203,0.228,0.263,0.237,0.258
ru,KNN,Random Oversampling,0.275,0.067,0.137,0.221,0.323,0.250
ru,KNN,SMOTE,0.269,0.201,0.057,0.261,0.121,0.046
ru,KNN,SVMSMOTE,0.068,0.159,0.147,0.253,0.172,0.227
ru,LinearSVM,BorderlineSMOTE,0.318,0.347,0.273,0.351,0.324,0.353
ru,LinearSVM,No Upsampling,0.321,0.288,0.256,0.340,0.252,0.328
ru,LinearSVM,Random Oversampling,0.315,0.347,0.255,0.369,0.318,0.342
ru,LinearSVM,SMOTE,0.324,0.306,0.271,0.299,0.305,0.328
ru,LogisticRegression,BorderlineSMOTE,0.317,0.314,0.280,0.329,0.300,0.381
ru,LogisticRegression,No Upsampling,0.324,0.271,0.243,0.292,0.204,0.282
ru,LogisticRegression,Random Oversampling,0.304,0.232,0.222,0.286,0.207,0.294
ru,LogisticRegression,SMOTE,0.309,0.263,0.280,0.300,0.259,0.309
ru,LogisticRegression,SVMSMOTE,0.354,0.296,0.299,0.289,0.276,0.317
ru,LogisticRegressionElasticNet,BorderlineSMOTE,0.300,0.360,0.339,0.352,0.252,0.344
ru,LogisticRegressionElasticNet,Random Oversampling,0.331,0.366,0.276,0.291,0.245,0.381
ru,LogisticRegressionElasticNet,SMOTE,0.053,0.314,0.309,0.313,0.300,0.402
ru,LogisticRegressionElasticNet,SVMSMOTE,0.304,0.332,0.295,0.309,0.244,0.390
ru,LogisticRegressionLasso,BorderlineSMOTE,0.295,0.268,0.222,0.390,0.304,0.372
ru,LogisticRegressionLasso,No Upsampling,0.298,0.292,0.249,0.353,0.316,0.411
ru,LogisticRegressionLasso,Random Oversampling,0.309,0.307,0.255,0.345,0.237,0.410
ru,LogisticRegressionLasso,SMOTE,0.298,0.291,0.252,0.346,0.232,0.401
ru,LogisticRegressionLasso,SVMSMOTE,0.283,0.278,0.283,0.327,0.259,0.393
ru,LogisticRegressionRidge,BorderlineSMOTE,0.345,0.359,0.323,0.335,0.309,0.371
ru,LogisticRegressionRidge,No Upsampling,0.328,0.349,0.343,0.336,0.307,0.345
ru,LogisticRegressionRidge,Random Oversampling,0.319,0.341,0.279,0.346,0.287,0.337
ru,LogisticRegressionRidge,SMOTE,0.325,0.338,0.332,0.309,0.294,0.329
ru,LogisticRegressionRidge,SVMSMOTE,0.337,0.245,0.275,0.244,0.311,0.321
ru,NaiveBayes,BorderlineSMOTE,0.357,0.316,0.295,0.338,0.351,0.398
ru,NaiveBayes,No Upsampling,0.363,0.317,0.228,0.347,0.303,0.359
ru,NaiveBayes,Random Oversampling,0.363,0.317,0.253,0.340,0.303,0.373
ru,NaiveBayes,SMOTE,0.350,0.309,0.330,0.372,0.350,0.359
ru,NaiveBayes,SVMSMOTE,0.363,0.317,0.318,0.357,0.343,0.368
ru,RandomForest,BorderlineSMOTE,0.179,0.102,0.138,0.262,0.159,0.313
ru,RandomForest,No Upsampling,0.300,0.311,0.313,0.263,0.341,0.324
ru,RandomForest,Random Oversampling,0.147,0.198,0.249,0.277,0.311,0
ru,RandomForest,SMOTE,0.146,0.089,0.067,0.220,0.098,0.313
ru,RandomForest,SVMSMOTE,0.133,0.114,0.082,0.235,0.134,0.162
ru,RidgeClassifier,BorderlineSMOTE,0.333,0.365,0.297,0.333,0.302,0.295
ru,RidgeClassifier,No Upsampling,0.330,0.360,0.267,0.327,0.318,0.303
ru,RidgeClassifier,Random Oversampling,0.329,0.331,0.291,0.302,0.277,0.306
ru,RidgeClassifier,SMOTE,0.328,0.306,0.267,0.271,0.295,0.308
ru,RidgeClassifier,SVMSMOTE,0.329,0.338,0.299,0.316,0.306,0.338
ru,SVM,BorderlineSMOTE,0.341,0.405,0.321,0.327,0.364,0.367
ru,SVM,No Upsampling,0.360,0.426,0.365,0.318,0.356,0.366
ru,SVM,Random Oversampling,0.388,0.417,0.361,0.276,0.356,0.369
ru,SVM,SMOTE,0.366,0.412,0.314,0.354,0.356,0.341
ru,SVM,SVMSMOTE,0.362,0.435,0.328,0.333,0.360,0.379
ru,XGBoost,BorderlineSMOTE,0.228,0.244,0.282,0.313,0.367,0.358
ru,XGBoost,No Upsampling,0.275,0.245,0.271,0.347,0.345,0.358
ru,XGBoost,Random Oversampling,0.234,0.259,0.320,0.334,0.352,**0.454**
ru,XGBoost,SMOTE,0.231,0.255,0.293,0.325,0.357,0.453
ru,XGBoost,SVMSMOTE,0.240,0.235,0.282,0.287,0.334,0.429
