language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,LogisticRegressionLasso,No Upsampling,0.57 $\pm$ 0.04,0.60 $\pm$ 0.03,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01,0.70 $\pm$ 0.02
en,LogisticRegressionLasso,Random Oversampling,0.57 $\pm$ 0.04,0.61 $\pm$ 0.02,0.63 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.02,0.68 $\pm$ 0.02
en,LogisticRegressionLasso,SMOTE,0.57 $\pm$ 0.03,0.61 $\pm$ 0.03,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02
en,LogisticRegressionLasso,SVMSMOTE,0.58 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.03,0.67 $\pm$ 0.02
en,LogisticRegressionRidge,BorderlineSMOTE,0.66 $\pm$ 0.02,0.69 $\pm$ 0.03,0.69 $\pm$ 0.04,0.69 $\pm$ 0.01,0.72 $\pm$ 0.02,0.73 $\pm$ 0.02
en,LogisticRegressionRidge,No Upsampling,0.63 $\pm$ 0.03,0.70 $\pm$ 0.04,0.70 $\pm$ 0.03,0.72 $\pm$ 0.01,0.73 $\pm$ 0.02,0.74 $\pm$ 0.02
en,LogisticRegressionRidge,RakelD Partitioning of labels,0.69 $\pm$ 0.01,0.72 $\pm$ 0.02,0.73 $\pm$ 0.03,0.72 $\pm$ 0.03,**0.76 $\pm$ 0.01**,**0.76 $\pm$ 0.00**
en,LogisticRegressionRidge,Random Oversampling,0.66 $\pm$ 0.01,0.68 $\pm$ 0.03,0.70 $\pm$ 0.03,0.69 $\pm$ 0.01,0.73 $\pm$ 0.01,0.72 $\pm$ 0.01
en,LogisticRegressionRidge,SMOTE,0.64 $\pm$ 0.02,0.67 $\pm$ 0.03,0.69 $\pm$ 0.04,0.67 $\pm$ 0.01,0.70 $\pm$ 0.02,0.72 $\pm$ 0.02
en,LogisticRegressionRidge,SVMSMOTE,0.61 $\pm$ 0.02,0.65 $\pm$ 0.02,0.67 $\pm$ 0.04,0.68 $\pm$ 0.02,0.70 $\pm$ 0.03,0.70 $\pm$ 0.02
en,Multi-label ARAM,Natively Multilabel,0.58 $\pm$ 0.22,0.31 $\pm$ 0.14,0.53 $\pm$ 0.07,0.59 $\pm$ 0.06,0.63 $\pm$ 0.08,0.48 $\pm$ 0.05
en,Multilabel k Nearest Neighbours,Natively Multilabel,0.56 $\pm$ 0.01,0.61 $\pm$ 0.01,0.63 $\pm$ 0.03,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.62 $\pm$ 0.03
en,NaiveBayes,BorderlineSMOTE,0.62 $\pm$ 0.01,0.66 $\pm$ 0.02,0.69 $\pm$ 0.02,0.71 $\pm$ 0.02,0.71 $\pm$ 0.00,0.73 $\pm$ 0.01
en,NaiveBayes,No Upsampling,0.68 $\pm$ 0.03,0.71 $\pm$ 0.04,0.70 $\pm$ 0.01,0.70 $\pm$ 0.02,0.72 $\pm$ 0.01,0.72 $\pm$ 0.02
en,NaiveBayes,Random Oversampling,0.61 $\pm$ 0.01,0.67 $\pm$ 0.02,0.66 $\pm$ 0.02,0.69 $\pm$ 0.02,0.70 $\pm$ 0.02,0.72 $\pm$ 0.02
en,NaiveBayes,SMOTE,0.63 $\pm$ 0.00,0.67 $\pm$ 0.01,0.69 $\pm$ 0.02,0.71 $\pm$ 0.02,0.71 $\pm$ 0.02,0.73 $\pm$ 0.01
en,NaiveBayes,SVMSMOTE,0.60 $\pm$ 0.02,0.67 $\pm$ 0.02,0.66 $\pm$ 0.03,0.69 $\pm$ 0.02,0.70 $\pm$ 0.02,0.72 $\pm$ 0.01
en,RandomForest,BorderlineSMOTE,0.51 $\pm$ 0.09,0.60 $\pm$ 0.03,0.63 $\pm$ 0.03,0.62 $\pm$ 0.01,0.64 $\pm$ 0.02,0.67 $\pm$ 0.01
en,RandomForest,No Upsampling,0.56 $\pm$ 0.06,0.61 $\pm$ 0.05,0.61 $\pm$ 0.03,0.63 $\pm$ 0.00,0.64 $\pm$ 0.02,0.68 $\pm$ 0.02
en,RandomForest,Random Oversampling,0.50 $\pm$ 0.02,0.58 $\pm$ 0.05,0.62 $\pm$ 0.03,0.62 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02
en,RandomForest,SMOTE,0.54 $\pm$ 0.05,0.59 $\pm$ 0.04,0.63 $\pm$ 0.03,0.62 $\pm$ 0.01,0.64 $\pm$ 0.02,0.67 $\pm$ 0.01
en,RandomForest,SVMSMOTE,0.50 $\pm$ 0.02,0.61 $\pm$ 0.03,0.62 $\pm$ 0.02,0.62 $\pm$ 0.01,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02
en,RidgeClassifier,BorderlineSMOTE,0.60 $\pm$ 0.02,0.60 $\pm$ 0.01,0.62 $\pm$ 0.03,0.66 $\pm$ 0.02,0.68 $\pm$ 0.02,0.70 $\pm$ 0.02
en,RidgeClassifier,No Upsampling,0.60 $\pm$ 0.01,0.61 $\pm$ 0.02,0.64 $\pm$ 0.03,0.66 $\pm$ 0.02,0.68 $\pm$ 0.02,0.70 $\pm$ 0.02
en,RidgeClassifier,Random Oversampling,0.59 $\pm$ 0.01,0.59 $\pm$ 0.02,0.62 $\pm$ 0.02,0.65 $\pm$ 0.03,0.66 $\pm$ 0.02,0.69 $\pm$ 0.03
en,RidgeClassifier,SMOTE,0.60 $\pm$ 0.02,0.58 $\pm$ 0.02,0.60 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.69 $\pm$ 0.02
en,RidgeClassifier,SVMSMOTE,0.62 $\pm$ 0.01,0.59 $\pm$ 0.02,0.63 $\pm$ 0.02,0.65 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
en,SVM,BorderlineSMOTE,0.61 $\pm$ 0.02,0.61 $\pm$ 0.02,0.65 $\pm$ 0.02,0.67 $\pm$ 0.01,0.69 $\pm$ 0.01,0.71 $\pm$ 0.02
en,SVM,No Upsampling,0.60 $\pm$ 0.03,0.63 $\pm$ 0.03,0.64 $\pm$ 0.02,0.69 $\pm$ 0.02,0.68 $\pm$ 0.01,0.71 $\pm$ 0.01
en,SVM,RakelD Partitioning of labels,0.59 $\pm$ 0.02,0.62 $\pm$ 0.02,0.65 $\pm$ 0.03,0.67 $\pm$ 0.01,0.68 $\pm$ 0.02,0.70 $\pm$ 0.01
en,SVM,Random Oversampling,0.60 $\pm$ 0.03,0.61 $\pm$ 0.02,0.66 $\pm$ 0.04,0.65 $\pm$ 0.03,0.69 $\pm$ 0.01,0.70 $\pm$ 0.00
en,SVM,SMOTE,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.03,0.68 $\pm$ 0.02,0.69 $\pm$ 0.02,0.70 $\pm$ 0.01
en,SVM,SVMSMOTE,0.61 $\pm$ 0.01,0.62 $\pm$ 0.03,0.65 $\pm$ 0.03,0.67 $\pm$ 0.03,0.67 $\pm$ 0.02,0.69 $\pm$ 0.02
en,XGBoost,BorderlineSMOTE,0.74 $\pm$ 0.01,0.72 $\pm$ 0.03,0.72 $\pm$ 0.03,0.71 $\pm$ 0.01,0.72 $\pm$ 0.03,0.74 $\pm$ 0.02
en,XGBoost,No Upsampling,0.74 $\pm$ 0.04,0.70 $\pm$ 0.05,0.71 $\pm$ 0.04,0.72 $\pm$ 0.01,0.71 $\pm$ 0.02,0.71 $\pm$ 0.02
en,XGBoost,Random Oversampling,0.74 $\pm$ 0.02,0.70 $\pm$ 0.06,0.73 $\pm$ 0.04,0.73 $\pm$ 0.02,0.73 $\pm$ 0.04,0.75 $\pm$ 0.03
en,XGBoost,SMOTE,0.73 $\pm$ 0.05,0.71 $\pm$ 0.02,0.75 $\pm$ 0.04,0.73 $\pm$ 0.04,0.72 $\pm$ 0.03,0.72 $\pm$ 0.03
en,XGBoost,SVMSMOTE,**0.76 $\pm$ 0.01**,0.70 $\pm$ 0.02,0.73 $\pm$ 0.03,0.71 $\pm$ 0.02,0.73 $\pm$ 0.02,0.75 $\pm$ 0.02
fr,Binary Relevance kNN,Natively Multilabel,0.21 $\pm$ 0.03,0.30 $\pm$ 0.02,0.29 $\pm$ 0.04,0.35 $\pm$ 0.04,0.26 $\pm$ 0.02,0.38 $\pm$ 0.03
fr,ComplementNB,RakelD Partitioning of labels,0.58 $\pm$ 0.05,0.57 $\pm$ 0.04,0.61 $\pm$ 0.04,0.59 $\pm$ 0.05,0.62 $\pm$ 0.02,0.59 $\pm$ 0.07
fr,KNN,BorderlineSMOTE,0.69 $\pm$ 0.03,0.72 $\pm$ 0.20,0.73 $\pm$ 0.19,0.66 $\pm$ 0.04,0.70 $\pm$ 0.03,0.73 $\pm$ 0.03
fr,KNN,No Upsampling,0.35 $\pm$ 0.03,0.30 $\pm$ 0.03,0.32 $\pm$ 0.05,0.42 $\pm$ 0.03,0.36 $\pm$ 0.03,0.45 $\pm$ 0.06
fr,KNN,Random Oversampling,0.60 $\pm$ 0.02,0.57 $\pm$ 0.03,0.62 $\pm$ 0.01,0.65 $\pm$ 0.03,0.68 $\pm$ 0.01,0.74 $\pm$ 0.02
fr,KNN,SMOTE,0.60 $\pm$ 0.02,0.58 $\pm$ 0.07,0.77 $\pm$ 0.16,0.64 $\pm$ 0.03,0.67 $\pm$ 0.02,0.79 $\pm$ 0.04
fr,KNN,SVMSMOTE,0.79 $\pm$ 0.24,0.79 $\pm$ 0.30,**1.00 $\pm$ 0.00**,0.67 $\pm$ 0.23,0.52 $\pm$ 0.00,0.67 $\pm$ 0.04
fr,LinearSVM,BorderlineSMOTE,0.47 $\pm$ 0.06,0.55 $\pm$ 0.04,0.56 $\pm$ 0.01,0.59 $\pm$ 0.01,0.67 $\pm$ 0.03,0.67 $\pm$ 0.04
fr,LinearSVM,No Upsampling,0.51 $\pm$ 0.00,0.57 $\pm$ 0.01,0.63 $\pm$ 0.05,0.63 $\pm$ 0.02,0.67 $\pm$ 0.02,0.63 $\pm$ 0.04
fr,LinearSVM,RakelD Partitioning of labels,0.50 $\pm$ 0.00,0.57 $\pm$ 0.00,0.63 $\pm$ 0.04,0.60 $\pm$ 0.02,0.64 $\pm$ 0.04,0.63 $\pm$ 0.01
fr,LinearSVM,Random Oversampling,0.50 $\pm$ 0.00,0.55 $\pm$ 0.03,0.62 $\pm$ 0.01,0.61 $\pm$ 0.05,0.61 $\pm$ 0.04,0.60 $\pm$ 0.02
fr,LinearSVM,SMOTE,0.46 $\pm$ 0.04,0.53 $\pm$ 0.06,0.59 $\pm$ 0.08,0.59 $\pm$ 0.02,0.67 $\pm$ 0.02,0.64 $\pm$ 0.01
fr,LogisticRegression,BorderlineSMOTE,0.46 $\pm$ 0.02,0.37 $\pm$ 0.03,0.40 $\pm$ 0.02,0.44 $\pm$ 0.03,0.49 $\pm$ 0.04,0.52 $\pm$ 0.01
fr,LogisticRegression,No Upsampling,0.41 $\pm$ 0.01,0.29 $\pm$ 0.03,0.34 $\pm$ 0.03,0.38 $\pm$ 0.02,0.43 $\pm$ 0.04,0.44 $\pm$ 0.04
fr,LogisticRegression,Random Oversampling,0.43 $\pm$ 0.02,0.29 $\pm$ 0.02,0.34 $\pm$ 0.02,0.39 $\pm$ 0.05,0.41 $\pm$ 0.02,0.46 $\pm$ 0.03
fr,LogisticRegression,SMOTE,0.45 $\pm$ 0.02,0.30 $\pm$ 0.02,0.34 $\pm$ 0.02,0.39 $\pm$ 0.03,0.41 $\pm$ 0.03,0.44 $\pm$ 0.04
fr,LogisticRegression,SVMSMOTE,0.45 $\pm$ 0.01,0.30 $\pm$ 0.02,0.32 $\pm$ 0.01,0.39 $\pm$ 0.05,0.42 $\pm$ 0.03,0.43 $\pm$ 0.03
fr,LogisticRegressionElasticNet,BorderlineSMOTE,0.48 $\pm$ 0.01,0.43 $\pm$ 0.02,0.48 $\pm$ 0.02,0.49 $\pm$ 0.01,0.51 $\pm$ 0.01,0.56 $\pm$ 0.03
fr,LogisticRegressionElasticNet,No Upsampling,0.44 $\pm$ 0.02,0.38 $\pm$ 0.01,0.51 $\pm$ 0.04,0.54 $\pm$ 0.01,0.53 $\pm$ 0.03,0.62 $\pm$ 0.02
fr,LogisticRegressionElasticNet,Random Oversampling,0.44 $\pm$ 0.03,0.38 $\pm$ 0.01,0.49 $\pm$ 0.03,0.49 $\pm$ 0.04,0.49 $\pm$ 0.03,0.54 $\pm$ 0.02
fr,LogisticRegressionElasticNet,SMOTE,0.47 $\pm$ 0.02,0.35 $\pm$ 0.01,0.45 $\pm$ 0.02,0.45 $\pm$ 0.03,0.46 $\pm$ 0.01,0.52 $\pm$ 0.05
fr,LogisticRegressionElasticNet,SVMSMOTE,0.46 $\pm$ 0.02,0.38 $\pm$ 0.01,0.45 $\pm$ 0.02,0.47 $\pm$ 0.01,0.50 $\pm$ 0.03,0.53 $\pm$ 0.03
fr,LogisticRegressionLasso,BorderlineSMOTE,0.51 $\pm$ 0.01,0.38 $\pm$ 0.02,0.46 $\pm$ 0.05,0.50 $\pm$ 0.05,0.43 $\pm$ 0.01,0.55 $\pm$ 0.01
fr,LogisticRegressionLasso,No Upsampling,0.45 $\pm$ 0.03,0.34 $\pm$ 0.02,0.44 $\pm$ 0.03,0.52 $\pm$ 0.04,0.53 $\pm$ 0.01,0.65 $\pm$ 0.01
fr,LogisticRegressionLasso,Random Oversampling,0.47 $\pm$ 0.02,0.33 $\pm$ 0.03,0.42 $\pm$ 0.01,0.49 $\pm$ 0.06,0.47 $\pm$ 0.05,0.59 $\pm$ 0.02
fr,LogisticRegressionLasso,SMOTE,0.48 $\pm$ 0.02,0.33 $\pm$ 0.03,0.42 $\pm$ 0.02,0.46 $\pm$ 0.05,0.44 $\pm$ 0.04,0.55 $\pm$ 0.06
fr,LogisticRegressionLasso,SVMSMOTE,0.48 $\pm$ 0.01,0.34 $\pm$ 0.03,0.41 $\pm$ 0.03,0.46 $\pm$ 0.03,0.44 $\pm$ 0.05,0.55 $\pm$ 0.03
fr,LogisticRegressionRidge,BorderlineSMOTE,0.46 $\pm$ 0.05,0.57 $\pm$ 0.01,0.60 $\pm$ 0.02,0.58 $\pm$ 0.08,0.64 $\pm$ 0.05,0.62 $\pm$ 0.01
fr,LogisticRegressionRidge,No Upsampling,0.51 $\pm$ 0.00,0.60 $\pm$ 0.01,0.64 $\pm$ 0.06,0.62 $\pm$ 0.02,0.71 $\pm$ 0.04,0.72 $\pm$ 0.01
fr,LogisticRegressionRidge,RakelD Partitioning of labels,0.58 $\pm$ 0.01,0.62 $\pm$ 0.04,0.64 $\pm$ 0.02,0.61 $\pm$ 0.03,0.72 $\pm$ 0.04,0.74 $\pm$ 0.01
fr,LogisticRegressionRidge,Random Oversampling,0.48 $\pm$ 0.04,0.58 $\pm$ 0.02,0.62 $\pm$ 0.04,0.67 $\pm$ 0.03,0.70 $\pm$ 0.03,0.67 $\pm$ 0.03
fr,LogisticRegressionRidge,SMOTE,0.46 $\pm$ 0.04,0.48 $\pm$ 0.01,0.54 $\pm$ 0.04,0.59 $\pm$ 0.02,0.60 $\pm$ 0.03,0.64 $\pm$ 0.02
fr,LogisticRegressionRidge,SVMSMOTE,0.45 $\pm$ 0.02,0.42 $\pm$ 0.02,0.44 $\pm$ 0.03,0.49 $\pm$ 0.03,0.62 $\pm$ 0.04,0.65 $\pm$ 0.03
fr,Multi-label ARAM,Natively Multilabel,0.36 $\pm$ 0.06,0.37 $\pm$ 0.08,0.25 $\pm$ 0.02,0.55 $\pm$ 0.02,0.51 $\pm$ 0.10,0.54 $\pm$ 0.20
fr,Multilabel k Nearest Neighbours,Natively Multilabel,0.39 $\pm$ 0.02,0.37 $\pm$ 0.04,0.38 $\pm$ 0.03,0.44 $\pm$ 0.09,0.38 $\pm$ 0.03,0.39 $\pm$ 0.01
fr,NaiveBayes,BorderlineSMOTE,0.53 $\pm$ 0.02,0.62 $\pm$ 0.07,0.63 $\pm$ 0.04,0.60 $\pm$ 0.04,0.64 $\pm$ 0.01,0.64 $\pm$ 0.04
fr,NaiveBayes,No Upsampling,0.61 $\pm$ 0.01,0.62 $\pm$ 0.07,0.65 $\pm$ 0.02,0.65 $\pm$ 0.02,0.62 $\pm$ 0.05,0.62 $\pm$ 0.03
fr,NaiveBayes,Random Oversampling,0.69 $\pm$ 0.06,0.65 $\pm$ 0.04,0.66 $\pm$ 0.02,0.63 $\pm$ 0.02,0.62 $\pm$ 0.02,0.61 $\pm$ 0.02
fr,NaiveBayes,SMOTE,0.64 $\pm$ 0.03,0.62 $\pm$ 0.08,0.65 $\pm$ 0.04,0.58 $\pm$ 0.02,0.62 $\pm$ 0.01,0.64 $\pm$ 0.05
fr,NaiveBayes,SVMSMOTE,0.72 $\pm$ 0.03,0.69 $\pm$ 0.05,0.65 $\pm$ 0.02,0.63 $\pm$ 0.02,0.62 $\pm$ 0.04,0.62 $\pm$ 0.02
fr,RandomForest,BorderlineSMOTE,0.46 $\pm$ 0.13,0.48 $\pm$ 0.02,0.49 $\pm$ 0.03,0.49 $\pm$ 0.01,0.44 $\pm$ 0.03,0.50 $\pm$ 0.02
fr,RandomForest,No Upsampling,0.54 $\pm$ 0.05,0.48 $\pm$ 0.03,0.50 $\pm$ 0.03,0.48 $\pm$ 0.01,0.45 $\pm$ 0.04,0.48 $\pm$ 0.03
fr,RandomForest,Random Oversampling,0.55 $\pm$ 0.06,0.50 $\pm$ 0.04,0.48 $\pm$ 0.04,0.51 $\pm$ 0.02,0.46 $\pm$ 0.03,0.47 $\pm$ 0.03
fr,RandomForest,SMOTE,0.46 $\pm$ 0.11,0.50 $\pm$ 0.03,0.47 $\pm$ 0.03,0.50 $\pm$ 0.02,0.45 $\pm$ 0.04,0.50 $\pm$ 0.03
fr,RandomForest,SVMSMOTE,0.47 $\pm$ 0.10,0.50 $\pm$ 0.02,0.48 $\pm$ 0.04,0.49 $\pm$ 0.02,0.49 $\pm$ 0.03,0.45 $\pm$ 0.05
fr,RidgeClassifier,BorderlineSMOTE,0.46 $\pm$ 0.02,0.27 $\pm$ 0.04,0.37 $\pm$ 0.02,0.45 $\pm$ 0.02,0.46 $\pm$ 0.01,0.51 $\pm$ 0.02
fr,RidgeClassifier,No Upsampling,0.41 $\pm$ 0.04,0.27 $\pm$ 0.03,0.36 $\pm$ 0.02,0.45 $\pm$ 0.03,0.47 $\pm$ 0.03,0.49 $\pm$ 0.02
fr,RidgeClassifier,Random Oversampling,0.55 $\pm$ 0.03,0.25 $\pm$ 0.02,0.32 $\pm$ 0.02,0.42 $\pm$ 0.02,0.43 $\pm$ 0.04,0.46 $\pm$ 0.02
fr,RidgeClassifier,SMOTE,0.45 $\pm$ 0.03,0.25 $\pm$ 0.04,0.33 $\pm$ 0.01,0.38 $\pm$ 0.04,0.42 $\pm$ 0.02,0.49 $\pm$ 0.01
fr,RidgeClassifier,SVMSMOTE,0.45 $\pm$ 0.03,0.26 $\pm$ 0.03,0.31 $\pm$ 0.01,0.42 $\pm$ 0.03,0.41 $\pm$ 0.02,0.49 $\pm$ 0.00
fr,SVM,BorderlineSMOTE,0.58 $\pm$ 0.06,0.56 $\pm$ 0.06,0.57 $\pm$ 0.03,0.56 $\pm$ 0.03,0.59 $\pm$ 0.02,0.62 $\pm$ 0.06
fr,SVM,No Upsampling,0.58 $\pm$ 0.04,0.57 $\pm$ 0.01,0.54 $\pm$ 0.02,0.61 $\pm$ 0.01,0.59 $\pm$ 0.03,0.65 $\pm$ 0.05
fr,SVM,RakelD Partitioning of labels,0.56 $\pm$ 0.05,0.57 $\pm$ 0.06,0.58 $\pm$ 0.01,0.56 $\pm$ 0.03,0.59 $\pm$ 0.00,0.61 $\pm$ 0.05
fr,SVM,Random Oversampling,0.57 $\pm$ 0.05,0.56 $\pm$ 0.04,0.58 $\pm$ 0.02,0.56 $\pm$ 0.04,0.57 $\pm$ 0.03,0.63 $\pm$ 0.03
fr,SVM,SMOTE,0.48 $\pm$ 0.04,0.54 $\pm$ 0.06,0.58 $\pm$ 0.02,0.57 $\pm$ 0.04,0.64 $\pm$ 0.04,0.61 $\pm$ 0.04
fr,SVM,SVMSMOTE,0.59 $\pm$ 0.06,0.53 $\pm$ 0.08,0.57 $\pm$ 0.04,0.55 $\pm$ 0.04,0.59 $\pm$ 0.01,0.61 $\pm$ 0.02
fr,XGBoost,BorderlineSMOTE,0.74 $\pm$ 0.11,0.66 $\pm$ 0.06,0.67 $\pm$ 0.07,0.62 $\pm$ 0.04,0.62 $\pm$ 0.06,0.62 $\pm$ 0.02
fr,XGBoost,No Upsampling,0.69 $\pm$ 0.07,0.66 $\pm$ 0.03,0.65 $\pm$ 0.08,0.65 $\pm$ 0.04,0.58 $\pm$ 0.05,0.56 $\pm$ 0.02
fr,XGBoost,Random Oversampling,0.77 $\pm$ 0.03,0.62 $\pm$ 0.08,0.69 $\pm$ 0.04,0.62 $\pm$ 0.04,0.66 $\pm$ 0.01,0.59 $\pm$ 0.01
fr,XGBoost,SMOTE,0.80 $\pm$ 0.07,0.65 $\pm$ 0.07,0.60 $\pm$ 0.03,0.69 $\pm$ 0.02,0.62 $\pm$ 0.03,0.61 $\pm$ 0.04
fr,XGBoost,SVMSMOTE,0.78 $\pm$ 0.06,0.65 $\pm$ 0.04,0.69 $\pm$ 0.11,0.55 $\pm$ 0.05,0.60 $\pm$ 0.00,0.62 $\pm$ 0.00
ge,Binary Relevance kNN,Natively Multilabel,0.42 $\pm$ 0.07,0.51 $\pm$ 0.12,0.35 $\pm$ 0.02,0.36 $\pm$ 0.06,0.42 $\pm$ 0.04,0.40 $\pm$ 0.03
ge,ComplementNB,RakelD Partitioning of labels,0.64 $\pm$ 0.09,0.58 $\pm$ 0.03,0.62 $\pm$ 0.02,0.57 $\pm$ 0.03,0.72 $\pm$ 0.02,0.68 $\pm$ 0.03
ge,KNN,BorderlineSMOTE,0.69 $\pm$ 0.02,0.64 $\pm$ 0.02,0.58 $\pm$ 0.02,0.62 $\pm$ 0.04,0.72 $\pm$ 0.02,0.83 $\pm$ 0.03
ge,KNN,No Upsampling,0.40 $\pm$ 0.01,0.41 $\pm$ 0.05,0.40 $\pm$ 0.01,0.46 $\pm$ 0.02,0.53 $\pm$ 0.04,0.56 $\pm$ 0.03
